,Position,Driver,Car,Time / Gap
2,1,Gerhard Berger,McLaren Honda,1:22.259
1,2,Ayrton Senna,McLaren Honda,+0.412s
19,3,Roberto Moreno,Benetton Ford,+0.698s
28,4,Jean Alesi,Ferrari,+1.280s
6,5,Riccardo Patrese,Williams Renault,+1.336s
5,6,Nigel Mansell,Williams Renault,+1.603s
20,7,Nelson Piquet,Benetton Ford,+1.610s
4,8,Stefano Modena,Tyrrell Honda,+2.067s
27,9,Alain Prost,Ferrari,+2.526s
23,10,Pierluigi Martini,Minardi Ferrari,+2.598s
17,11,Gabriele Tarquini,AGS Ford,+2.857s
32,12,Bertrand Gachot,Jordan Ford,+2.937s
3,13,Satoru Nakajima,Tyrrell Honda,+3.272s
7,14,Martin Brundle,Brabham Yamaha,+3.438s
21,15,Emanuele Pirro,Dallara Judd,+3.604s
33,16,Andrea de Cesaris,Jordan Ford,+3.749s
16,17,Ivan Capelli,Leyton House Ilmor,+3.830s
22,18,Jyrki Jarvilehto,Dallara Judd,+3.847s
15,19,Mauricio Gugelmin,Leyton House Ilmor,+4.352s
25,20,Thierry Boutsen,Ligier Lamborghini,+4.481s
26,21,Erik Comas,Ligier Lamborghini,+4.582s
18,22,Fabrizio Barbazza,AGS Ford,+5.146s
10,23,Alex Caffi,Footwork Porsche,+5.417s
30,24,Aguri Suzuki,Lola Ford,+5.589s
24,25,Gianni Morbidelli,Minardi Ferrari,+5.742s
11,26,Mika Hakkinen,Lotus Judd,+6.165s
29,27,Eric Bernard,Lola Ford,+6.210s
9,28,Michele Alboreto,Footwork Porsche,+6.396s
12,29,Julian Bailey,Lotus Judd,+6.503s
8,30,Mark Blundell,Brabham Yamaha,+7.951s
