,Position,Driver,Car,Time
8,1,Mika Hakkinen,McLaren Mercedes,1:19.798
7,2,David Coulthard,McLaren Mercedes,1:20.137
5,3,Giancarlo Fisichella,Benetton Playlife,1:20.368
3,4,Michael Schumacher,Ferrari,1:20.702
2,5,Heinz-Harald Frentzen,Williams Mecachrome,1:20.729
6,6,Alexander Wurz,Benetton Playlife,1:20.955
4,7,Eddie Irvine,Ferrari,1:21.712
17,8,Mika Salo,Arrows,1:22.144
15,9,Johnny Herbert,Sauber Petronas,1:22.157
12,10,Jarno Trulli,Prost Peugeot,1:22.238
14,11,Jean Alesi,Sauber Petronas,1:22.257
16,12,Pedro Diniz,Arrows,1:22.355
1,13,Jacques Villeneuve,Williams Mecachrome,1:22.468
18,14,Rubens Barrichello,Stewart Ford,1:22.540
9,15,Damon Hill,Jordan Mugen Honda,1:23.151
10,16,Ralf Schumacher,Jordan Mugen Honda,1:23.263
19,17,Jan Magnussen,Stewart Ford,1:23.411
11,18,Olivier Panis,Prost Peugeot,1:23.536
22,19,Shinji Nakano,Minardi Ford,1:23.957
21,20,Toranosuke Takagi,Tyrrell Ford,1:24.024
23,21,Esteban Tuero,Minardi Ford,1:24.031
