,Position,Driver,Car,Lap,Time
6,1,Jacques Villeneuve,Williams Renault,21,1:29.288
4,2,Gerhard Berger,Benetton Renault,56,1:29.984
5,3,Damon Hill,Williams Renault,3,1:30.264
7,4,Mika Hakkinen,McLaren Mercedes,42,1:30.531
12,5,Martin Brundle,Jordan Peugeot,33,1:30.552
3,6,Jean Alesi,Benetton Renault,3,1:30.553
11,7,Rubens Barrichello,Jordan Peugeot,21,1:30.671
1,8,Michael Schumacher,Ferrari,2,1:30.944
8,9,David Coulthard,McLaren Mercedes,49,1:31.282
2,10,Eddie Irvine,Ferrari,4,1:31.490
19,11,Mika Salo,Tyrrell Yamaha,57,1:31.765
17,12,Jos Verstappen,Footwork Hart,55,1:32.080
9,13,Olivier Panis,Ligier Mugen Honda,18,1:32.188
14,14,Johnny Herbert,Sauber Ford,55,1:32.213
10,15,Pedro Diniz,Ligier Mugen Honda,4,1:32.508
15,16,Heinz-Harald Frentzen,Sauber Ford,54,1:32.662
18,17,Ukyo Katayama,Tyrrell Yamaha,10,1:32.699
16,18,Ricardo Rosset,Footwork Hart,12,1:33.382
21,19,Giancarlo Fisichella,Minardi Ford,30,1:33.707
20,20,Pedro Lamy,Minardi Ford,5,1:34.372
