,Position,Driver,Car,Lap,Time
4,1,Heinz-Harald Frentzen,Williams Renault,48,1:38.942
5,2,Michael Schumacher,Ferrari,48,1:39.268
7,3,Jean Alesi,Benetton Renault,29,1:39.381
11,4,Ralf Schumacher,Jordan Peugeot,46,1:39.737
10,5,David Coulthard,McLaren Mercedes,52,1:39.771
6,6,Eddie Irvine,Ferrari,15,1:39.935
8,7,Gerhard Berger,Benetton Renault,48,1:39.998
9,8,Mika Hakkinen,McLaren Mercedes,24,1:40.151
3,9,Jacques Villeneuve,Williams Renault,22,1:40.163
12,10,Giancarlo Fisichella,Jordan Peugeot,45,1:40.217
16,11,Johnny Herbert,Sauber Petronas,49,1:40.266
14,12,Olivier Panis,Prost Mugen Honda,34,1:40.430
1,13,Damon Hill,Arrows Yamaha,35,1:41.419
15,14,Shinji Nakano,Prost Mugen Honda,15,1:41.608
2,15,Pedro Diniz,Arrows Yamaha,33,1:41.611
21,16,Tarso Marques,Minardi Hart,34,1:42.699
19,17,Mika Salo,Tyrrell Ford,20,1:42.996
18,18,Jos Verstappen,Tyrrell Ford,49,1:43.051
22,19,Rubens Barrichello,Stewart Ford,3,1:43.883
23,20,Jan Magnussen,Stewart Ford,3,1:44.089
20,21,Ukyo Katayama,Minardi Hart,5,1:44.403
