,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:58.693
27,2,Jean Alesi,Ferrari,+0.106s
19,3,Michael Schumacher,Benetton Ford,+1.503s
1,4,Ayrton Senna,McLaren Honda,+3.004s
6,5,Riccardo Patrese,Williams Renault,+3.674s
16,6,Jan Lammers,March Ilmor,+5.221s
9,7,Michele Alboreto,Footwork Mugen Honda,+5.222s
22,8,Pierluigi Martini,Dallara Ferrari,+5.720s
12,9,Johnny Herbert,Lotus Ford,+6.889s
25,10,Thierry Boutsen,Ligier Renault,+7.881s
21,11,Jyrki Jarvilehto,Dallara Ferrari,+8.031s
28,12,Nicola Larini,Ferrari,+8.095s
33,13,Mauricio Gugelmin,Jordan Yamaha,+8.375s
3,14,Olivier Grouillard,Tyrrell Ilmor,+9.052s
10,15,Aguri Suzuki,Footwork Mugen Honda,+10.336s
17,16,Emanuele Naspetti,March Ilmor,+10.458s
24,17,Gianni Morbidelli,Minardi Lamborghini,+11.269s
26,18,Erik Comas,Ligier Renault,+11.470s
11,19,Mika Hakkinen,Lotus Ford,+11.984s
23,20,Christian Fittipaldi,Minardi Lamborghini,+17.026s
