,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:37.978
1,2,Ayrton Senna,McLaren Honda,+1.282s
6,3,Riccardo Patrese,Williams Renault,+1.348s
2,4,Gerhard Berger,McLaren Honda,+2.517s
19,5,Michael Schumacher,Benetton Ford,+3.644s
12,6,Johnny Herbert,Lotus Ford,+4.167s
25,7,Thierry Boutsen,Ligier Renault,+4.452s
27,8,Jean Alesi,Ferrari,+4.644s
24,9,Gianni Morbidelli,Minardi Lamborghini,+4.784s
4,10,Andrea de Cesaris,Tyrrell Ilmor,+4.810s
20,11,Martin Brundle,Benetton Ford,+4.965s
10,12,Aguri Suzuki,Footwork Mugen Honda,+5.013s
32,13,Stefano Modena,Jordan Yamaha,+5.257s
26,14,Erik Comas,Ligier Renault,+5.417s
29,15,Bertrand Gachot,Venturi Lamborghini,+5.461s
30,16,Ukyo Katayama,Venturi Lamborghini,+5.836s
28,17,Nicola Larini,Ferrari,+5.862s
23,18,Christian Fittipaldi,Minardi Lamborghini,+6.108s
3,19,Olivier Grouillard,Tyrrell Ilmor,+6.134s
21,20,Jyrki Jarvilehto,Dallara Ferrari,+6.462s
11,21,Mika Hakkinen,Lotus Ford,+6.491s
22,22,Pierluigi Martini,Dallara Ferrari,+7.115s
9,23,Michele Alboreto,Footwork Mugen Honda,+7.352s
33,24,Mauricio Gugelmin,Jordan Yamaha,+7.743s
16,25,Jan Lammers,March Ilmor,+8.743s
17,26,Emanuele Naspetti,March Ilmor,+8.789s
