,Position,Driver,Car,Lap,Time
5,1,Nigel Mansell,Williams Renault,44,1:40.646
6,2,Riccardo Patrese,Williams Renault,44,1:40.910
2,3,Gerhard Berger,McLaren Honda,34,1:42.280
20,4,Martin Brundle,Benetton Ford,43,1:43.105
30,5,Ukyo Katayama,Venturi Lamborghini,43,1:43.233
11,6,Mika Hakkinen,Lotus Ford,34,1:43.288
4,7,Andrea de Cesaris,Tyrrell Ilmor,29,1:44.760
29,8,Bertrand Gachot,Venturi Lamborghini,33,1:44.960
12,9,Johnny Herbert,Lotus Ford,14,1:45.028
26,10,Erik Comas,Ligier Renault,28,1:45.340
32,11,Stefano Modena,Jordan Yamaha,35,1:45.413
27,12,Jean Alesi,Ferrari,34,1:45.455
17,13,Emanuele Naspetti,March Ilmor,35,1:45.613
23,14,Christian Fittipaldi,Minardi Lamborghini,34,1:45.638
22,15,Pierluigi Martini,Dallara Ferrari,33,1:45.650
28,16,Nicola Larini,Ferrari,35,1:45.661
24,17,Gianni Morbidelli,Minardi Lamborghini,38,1:45.827
21,18,Jyrki Jarvilehto,Dallara Ferrari,33,1:45.846
10,19,Aguri Suzuki,Footwork Mugen Honda,32,1:45.928
19,20,Michael Schumacher,Benetton Ford,10,1:46.218
1,21,Ayrton Senna,McLaren Honda,2,1:46.229
9,22,Michele Alboreto,Footwork Mugen Honda,38,1:46.560
33,23,Mauricio Gugelmin,Jordan Yamaha,19,1:47.633
16,24,Jan Lammers,March Ilmor,21,1:48.218
3,25,Olivier Grouillard,Tyrrell Ilmor,6,1:48.225
25,26,Thierry Boutsen,Ligier Renault,1,2:00.768
