,Position,Driver,Car,Time
1,1,Ayrton Senna,McLaren Honda,1:21.434
21,1,Emanuele Pirro,Dallara Judd,1:28.288
22,2,Jyrki Jarvilehto,Dallara Judd,1:28.792
27,2,Alain Prost,Ferrari,1:22.555
6,3,Riccardo Patrese,Williams Renault,1:22.833
34,3,Nicola Larini,Lambo Lamborghini,1:30.244
5,4,Nigel Mansell,Williams Renault,1:23.218
32,4,Bertrand Gachot,Jordan Ford,1:30.304
33,5,Andrea de Cesaris,Jordan Ford,1:30.937
20,5,Nelson Piquet,Benetton Ford,1:23.384
31,6,Pedro Chaves,Coloni Ford,1:31.113
28,6,Jean Alesi,Ferrari,1:23.519
2,7,Gerhard Berger,McLaren Honda,1:23.742
14,7,Olivier Grouillard,Fondmetal Ford,1:32.126
35,8,Eric van de Poele,Lambo Lamborghini,1:37.046
19,8,Roberto Moreno,Benetton Ford,1:23.881
4,11,Stefano Modena,Tyrrell Honda,1:25.065
7,12,Martin Brundle,Brabham Yamaha,1:25.385
11,13,Mika Hakkinen,Lotus Judd,1:25.448
23,15,Pierluigi Martini,Minardi Ferrari,1:25.715
3,16,Satoru Nakajima,Tyrrell Honda,1:25.752
16,18,Ivan Capelli,Leyton House Ilmor,1:26.121
29,19,Eric Bernard,Lola Ford,1:26.425
25,20,Thierry Boutsen,Ligier Lamborghini,1:26.500
30,21,Aguri Suzuki,Lola Ford,1:26.548
17,22,Gabriele Tarquini,AGS Ford,1:26.851
15,23,Mauricio Gugelmin,Leyton House Ilmor,1:26.865
8,24,Mark Blundell,Brabham Yamaha,1:26.915
9,25,Michele Alboreto,Footwork Porsche,1:27.015
24,26,Gianni Morbidelli,Minardi Ferrari,1:27.042
26,27,Erik Comas,Ligier Lamborghini,1:27.159
10,28,Alex Caffi,Footwork Porsche,1:27.519
18,29,Stefan Johansson,AGS Ford,1:27.753
12,30,Julian Bailey,Lotus Judd,1:28.570
