,Position,Driver,Car,Time / Gap
28,1,Gerhard Berger,McLaren Honda,1:23.481
6,2,Riccardo Patrese,Williams Renault,+0.667s
5,3,Thierry Boutsen,Williams Renault,+1.363s
19,4,Alessandro Nannini,Benetton Ford,+1.416s
4,5,Jean Alesi,Tyrrell Ford,+1.493s
1,6,Alain Prost,Ferrari,+1.521s
20,7,Nelson Piquet,Benetton Ford,+1.562s
2,8,Nigel Mansell,Ferrari,+1.571s
29,9,Eric Bernard,Lola Lamborghini,+1.942s
11,10,Derek Warwick,Lotus Lamborghini,+2.246s
30,11,Aguri Suzuki,Lola Lamborghini,+2.298s
23,12,Pierluigi Martini,Minardi Ford,+2.951s
12,13,Martin Donnelly,Lotus Lamborghini,+3.304s
15,14,Mauricio Gugelmin,Leyton House Judd,+3.561s
3,15,Satoru Nakajima,Tyrrell Ford,+3.865s
9,16,Michele Alboreto,Arrows Ford,+4.200s
10,17,Alex Caffi,Arrows Ford,+4.313s
16,18,Ivan Capelli,Leyton House Judd,+4.319s
26,19,Philippe Alliot,Ligier Ford,+4.553s
18,20,Yannick Dalmas,AGS Ford,+4.555s
21,21,Emanuele Pirro,Dallara Ford,+4.621s
7,22,David Brabham,Brabham Judd,+4.796s
24,23,Paolo Barilla,Minardi Ford,+4.915s
25,24,Nicola Larini,Ligier Ford,+4.980s
17,25,Gabriele Tarquini,AGS Ford,+5.034s
14,26,Olivier Grouillard,Osella Ford,+5.053s
8,27,Stefano Modena,Brabham Judd,+5.371s
27,28,Ayrton Senna,McLaren Honda,+5.703s
31,29,Bertrand Gachot,Coloni Ford,+6.286s
22,30,Andrea de Cesaris,Dallara Ford,+6.339s
