,Position,Driver,Car,Time / Gap
27,1,Ayrton Senna,McLaren Honda,1:23.677
4,2,Jean Alesi,Tyrrell Ford,+0.454s
2,3,Nigel Mansell,Ferrari,+0.756s
6,4,Riccardo Patrese,Williams Renault,+1.019s
19,5,Alessandro Nannini,Benetton Ford,+1.064s
28,6,Gerhard Berger,McLaren Honda,+1.411s
1,7,Alain Prost,Ferrari,+1.452s
5,8,Thierry Boutsen,Williams Renault,+1.609s
20,9,Nelson Piquet,Benetton Ford,+1.836s
23,10,Pierluigi Martini,Minardi Ford,+2.901s
11,11,Derek Warwick,Lotus Lamborghini,+2.932s
29,12,Eric Bernard,Lola Lamborghini,+2.997s
12,13,Martin Donnelly,Lotus Lamborghini,+3.495s
3,14,Satoru Nakajima,Tyrrell Ford,+3.633s
16,15,Ivan Capelli,Leyton House Judd,+3.724s
9,16,Michele Alboreto,Arrows Ford,+3.805s
10,17,Alex Caffi,Arrows Ford,+3.888s
8,18,Stefano Modena,Brabham Judd,+4.095s
21,19,Emanuele Pirro,Dallara Ford,+4.211s
26,20,Philippe Alliot,Ligier Ford,+4.322s
22,21,Andrea de Cesaris,Dallara Ford,+4.555s
14,22,Olivier Grouillard,Osella Ford,+4.578s
15,23,Mauricio Gugelmin,Leyton House Judd,+4.803s
18,24,Yannick Dalmas,AGS Ford,+5.010s
25,25,Nicola Larini,Ligier Ford,+5.113s
7,26,David Brabham,Brabham Judd,+5.193s
17,27,Gabriele Tarquini,AGS Ford,+5.771s
31,28,Bertrand Gachot,Coloni Ford,+6.218s
24,29,Paolo Barilla,Minardi Ford,+6.454s
30,30,Aguri Suzuki,Lola Lamborghini,+7.672s
