,Position,Driver,Car,Time
14,1,Olivier Grouillard,Osella Ford,1:26.947
27,1,Ayrton Senna,McLaren Honda,1:22.533
1,2,Alain Prost,Ferrari,1:22.935
31,2,Bertrand Gachot,Coloni Ford,1:27.594
17,3,Gabriele Tarquini,AGS Ford,1:27.773
28,3,Gerhard Berger,McLaren Honda,1:22.936
2,4,Nigel Mansell,Ferrari,1:23.141
18,4,Yannick Dalmas,AGS Ford,1:28.132
33,5,Roberto Moreno,Euro Brun Judd,1:28.703
4,5,Jean Alesi,Tyrrell Ford,1:23.526
5,6,Thierry Boutsen,Williams Renault,1:23.984
34,6,Claudio Langes,Euro Brun Judd,1:35.061
39,7,Bruno Giacomelli,Life,1:55.244
6,7,Riccardo Patrese,Williams Renault,1:24.253
19,8,Alessandro Nannini,Benetton Ford,1:24.583
20,9,Nelson Piquet,Benetton Ford,1:24.699
15,10,Mauricio Gugelmin,Leyton House Judd,1:25.556
12,11,Martin Donnelly,Lotus Lamborghini,1:25.629
11,12,Derek Warwick,Lotus Lamborghini,1:25.677
29,13,Eric Bernard,Lola Lamborghini,1:25.927
3,14,Satoru Nakajima,Tyrrell Ford,1:26.081
23,15,Pierluigi Martini,Minardi Ford,1:26.330
16,16,Ivan Capelli,Leyton House Judd,1:26.712
8,17,Stefano Modena,Brabham Judd,1:26.950
30,18,Aguri Suzuki,Lola Lamborghini,1:26.962
21,19,Emanuele Pirro,Dallara Ford,1:26.964
26,20,Philippe Alliot,Ligier Ford,1:27.043
10,21,Alex Caffi,Arrows Ford,1:27.410
9,22,Michele Alboreto,Arrows Ford,1:27.448
22,25,Andrea de Cesaris,Dallara Ford,1:27.749
25,26,Nicola Larini,Ligier Ford,1:27.937
24,28,Paolo Barilla,Minardi Ford,1:28.258
7,29,David Brabham,Brabham Judd,1:28.382
