,Position,Driver,Car,Lap,Time
27,1,Ayrton Senna,McLaren Honda,46,1:26.254
1,2,Alain Prost,Ferrari,42,1:26.376
28,3,Gerhard Berger,McLaren Honda,46,1:26.650
2,4,Nigel Mansell,Ferrari,37,1:27.776
20,5,Nelson Piquet,Benetton Ford,45,1:27.882
19,6,Alessandro Nannini,Benetton Ford,12,1:28.483
6,7,Riccardo Patrese,Williams Renault,40,1:28.608
5,8,Thierry Boutsen,Williams Renault,18,1:28.672
3,9,Satoru Nakajima,Tyrrell Ford,46,1:28.777
16,10,Ivan Capelli,Leyton House Judd,36,1:29.112
30,11,Aguri Suzuki,Lola Lamborghini,28,1:29.138
15,12,Mauricio Gugelmin,Leyton House Judd,20,1:29.298
4,13,Jean Alesi,Tyrrell Ford,4,1:29.386
22,14,Andrea de Cesaris,Dallara Ford,43,1:29.750
10,15,Alex Caffi,Arrows Ford,47,1:29.820
18,16,Yannick Dalmas,AGS Ford,44,1:29.868
12,17,Martin Donnelly,Lotus Lamborghini,8,1:29.876
29,18,Eric Bernard,Lola Lamborghini,10,1:29.949
9,19,Michele Alboreto,Arrows Ford,38,1:30.348
11,20,Derek Warwick,Lotus Lamborghini,11,1:30.521
25,21,Nicola Larini,Ligier Ford,36,1:30.640
14,22,Olivier Grouillard,Osella Ford,27,1:31.523
21,23,Emanuele Pirro,Dallara Ford,12,1:31.668
23,24,Pierluigi Martini,Minardi Ford,7,1:31.740
8,25,Stefano Modena,Brabham Judd,9,1:32.025
26,26,Philippe Alliot,Ligier Ford,12,1:32.881
