,Position,Driver,Car,Time
2,1,Rubens Barrichello,Ferrari,1:10.646
3,2,Juan Pablo Montoya,Williams BMW,1:10.850
6,3,Kimi Räikkönen,McLaren Mercedes,1:10.892
12,4,Felipe Massa,Sauber Petronas,1:10.922
9,5,Jenson Button,BAR Honda,1:11.092
10,6,Takuma Sato,BAR Honda,1:11.120
4,7,Ralf Schumacher,Williams BMW,1:11.131
8,8,Fernando Alonso,Renault,1:11.454
16,9,Jarno Trulli,Toyota,1:11.483
11,10,Giancarlo Fisichella,Sauber Petronas,1:11.571
14,11,Mark Webber,Jaguar Cosworth,1:11.665
5,12,David Coulthard,McLaren Mercedes,1:11.750
7,13,Jacques Villeneuve,Renault,1:11.836
17,14,Ricardo Zonta,Toyota,1:11.974
15,15,Christian Klien,Jaguar Cosworth,1:12.211
18,16,Nick Heidfeld,Jordan Ford,1:12.829
19,17,Timo Glock,Jordan Ford,1:13.502
1,18,Michael Schumacher,Ferrari,1:11.386
20,19,Gianmaria Bruni,Minardi Cosworth,
21,20,Zsolt Baumgartner,Minardi Cosworth,1:13.550
