,Position,Driver,Car,Time
33,1,Roberto Moreno,Euro Brun Judd,1:32.292
28,1,Gerhard Berger,McLaren Honda,1:28.664
23,2,Pierluigi Martini,Minardi Ford,1:28.731
29,2,Eric Bernard,Lola Lamborghini,1:32.711
14,3,Olivier Grouillard,Osella Ford,1:33.181
22,3,Andrea de Cesaris,Dallara Ford,1:29.019
4,4,Jean Alesi,Tyrrell Ford,1:29.408
30,4,Aguri Suzuki,Lola Lamborghini,1:33.331
27,5,Ayrton Senna,McLaren Honda,1:29.431
17,5,Gabriele Tarquini,AGS Ford,1:35.420
20,6,Nelson Piquet,Benetton Ford,1:29.862
18,6,Yannick Dalmas,AGS Ford,1:35.481
34,7,Claudio Langes,Euro Brun Judd,1:37.399
1,7,Alain Prost,Ferrari,1:29.910
39,8,Gary Brabham,Life,2:07.147
5,9,Thierry Boutsen,Williams Renault,1:30.059
31,9,Bertrand Gachot,Coloni Subaru,5:15.010
8,10,Stefano Modena,Brabham Judd,1:30.127
3,11,Satoru Nakajima,Tyrrell Ford,1:30.130
6,12,Riccardo Patrese,Williams Renault,1:30.213
25,13,Nicola Larini,Ligier Ford,1:30.424
24,14,Paolo Barilla,Minardi Ford,1:31.194
2,17,Nigel Mansell,Ferrari,1:31.363
12,19,Martin Donnelly,Lotus Lamborghini,1:31.650
10,20,Bernd Schneider,Arrows Ford,1:31.892
9,21,Michele Alboreto,Arrows Ford,1:31.948
19,22,Alessandro Nannini,Benetton Ford,1:31.984
7,23,Gregor Foitek,Brabham Judd,1:32.398
11,24,Derek Warwick,Lotus Lamborghini,1:32.400
15,25,Mauricio Gugelmin,Leyton House Judd,1:32.904
16,26,Ivan Capelli,Leyton House Judd,1:33.044
35,27,Stefan Johansson,Onyx Ford,1:33.468
21,28,Gianni Morbidelli,Dallara Ford,1:34.292
