,Position,Driver,Car,Time / Gap
6,1,Riccardo Patrese,Williams Renault,1:21.554
2,2,Gerhard Berger,McLaren Honda,+0.493s
1,3,Ayrton Senna,McLaren Honda,+0.624s
5,4,Nigel Mansell,Williams Renault,+0.787s
19,5,Michael Schumacher,Benetton Ford,+1.025s
28,6,Jean Alesi,Ferrari,+1.164s
20,7,Nelson Piquet,Benetton Ford,+1.482s
32,8,Roberto Moreno,Jordan Ford,+1.832s
27,9,Alain Prost,Ferrari,+1.906s
8,10,Mark Blundell,Brabham Yamaha,+2.580s
33,11,Andrea de Cesaris,Jordan Ford,+2.645s
7,12,Martin Brundle,Brabham Yamaha,+2.846s
4,13,Stefano Modena,Tyrrell Honda,+2.939s
3,14,Satoru Nakajima,Tyrrell Honda,+3.511s
23,15,Pierluigi Martini,Minardi Ferrari,+4.044s
29,16,Eric Bernard,Lola Ford,+4.169s
25,17,Thierry Boutsen,Ligier Lamborghini,+4.172s
26,18,Erik Comas,Ligier Lamborghini,+4.253s
16,19,Ivan Capelli,Leyton House Ilmor,+4.293s
34,20,Nicola Larini,Lambo Lamborghini,+4.501s
14,21,Olivier Grouillard,Fondmetal Ford,+4.549s
15,22,Mauricio Gugelmin,Leyton House Ilmor,+4.789s
22,23,Jyrki Jarvilehto,Dallara Judd,+5.017s
11,24,Mika Hakkinen,Lotus Judd,+5.098s
9,25,Michele Alboreto,Footwork Porsche,+5.123s
30,26,Aguri Suzuki,Lola Ford,+5.554s
21,27,Emanuele Pirro,Dallara Judd,+5.893s
24,28,Gianni Morbidelli,Minardi Ferrari,+6.167s
35,29,Eric van de Poele,Lambo Lamborghini,+6.400s
12,30,Michael Bartels,Lotus Judd,+7.063s
