,Position,Driver,Car,Time
16,1,Charles Leclerc,Ferrari,1:42.519
5,2,Sebastian Vettel,Ferrari,1:43.267
44,3,Lewis Hamilton,Mercedes,1:43.282
77,4,Valtteri Bottas,Mercedes,1:43.415
33,5,Max Verstappen,Red Bull Racing Honda,1:43.690
7,6,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:44.557
11,7,Sergio Perez,Racing Point BWT Mercedes,1:44.706
20,8,Kevin Magnussen,Haas Ferrari,1:45.086
8,9,Romain Grosjean,Haas Ferrari,1:44.797
3,10,Daniel Ricciardo,Renault,1:44.257
4,11,Lando Norris,McLaren Renault,1:44.847
27,12,Nico Hulkenberg,Renault,1:44.542
10,13,Pierre Gasly,Scuderia Toro Rosso Honda,1:46.435
63,14,George Russell,Williams Mercedes,1:47.548
55,15,Carlos Sainz,McLaren Renault,1:46.507
18,16,Lance Stroll,Racing Point BWT Mercedes,1:45.047
23,17,Alexander Albon,Red Bull Racing Honda,1:45.799
99,18,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,
26,19,Daniil Kvyat,Scuderia Toro Rosso Honda,1:46.518
88,20,Robert Kubica,Williams Mercedes,
