,Position,Driver,Car,Time / Gap
12,1,Ayrton Senna,McLaren Honda,1:19.475
11,2,Alain Prost,McLaren Honda,+0.328s
28,3,Gerhard Berger,Ferrari,+0.513s
1,4,Nelson Piquet,Lotus Honda,+1.525s
27,5,Michele Alboreto,Ferrari,+1.977s
18,6,Eddie  Cheever,Arrows Megatron,+2.762s
17,7,Derek Warwick,Arrows Megatron,+2.913s
2,8,Satoru Nakajima,Lotus Honda,+3.349s
20,9,Thierry Boutsen,Benetton Ford,+3.352s
5,10,Nigel Mansell,Williams Judd,+4.052s
19,11,Alessandro Nannini,Benetton Ford,+4.472s
22,12,Andrea de Cesaris,Rial Ford,+5.245s
30,13,Philippe Alliot,Lola Ford,+5.328s
29,14,Yannick Dalmas,Lola Ford,+5.378s
6,15,Riccardo Patrese,Williams Judd,+5.654s
9,16,Piercarlo Ghinzani,Zakspeed,+5.794s
16,17,Ivan Capelli,March Judd,+5.871s
25,18,Rene Arnoux,Ligier Judd,+6.416s
3,19,Jonathan  Palmer,Tyrrell Ford,+6.422s
14,20,Philippe Streiff,AGS Ford,+6.830s
24,21,Luis Perez-Sala,Minardi Ford,+7.138s
10,22,Bernd Schneider,Zakspeed,+7.211s
4,23,Julian Bailey,Tyrrell Ford,+7.617s
36,24,Alex Caffi,Dallara Ford,+7.856s
32,25,Oscar Larrauri,Euro Brun Ford,+8.048s
15,26,Mauricio Gugelmin,March Judd,+8.073s
21,27,Nicola Larini,Osella,+8.328s
23,28,Adrian Campos,Minardi Ford,+8.498s
31,29,Gabriele Tarquini,Coloni Ford,+9.023s
33,30,Stefano Modena,Euro Brun Ford,+11.998s
26,31,Stefan Johansson,Ligier Judd,
