,Position,Driver,Car,Lap,Time
11,1,Alain Prost,McLaren Honda,52,1:18.608
12,2,Ayrton Senna,McLaren Honda,53,1:18.776
1,3,Nelson Piquet,Lotus Honda,52,1:20.124
28,4,Gerhard Berger,Ferrari,37,1:20.160
27,5,Michele Alboreto,Ferrari,57,1:20.186
18,6,Eddie  Cheever,Arrows Megatron,52,1:21.056
17,7,Derek Warwick,Arrows Megatron,51,1:21.068
16,8,Ivan Capelli,March Judd,45,1:22.375
2,9,Satoru Nakajima,Lotus Honda,27,1:22.477
19,10,Alessandro Nannini,Benetton Ford,57,1:22.483
14,11,Philippe Streiff,AGS Ford,58,1:22.703
20,12,Thierry Boutsen,Benetton Ford,50,1:22.822
22,13,Andrea de Cesaris,Rial Ford,50,1:23.118
29,14,Yannick Dalmas,Lola Ford,58,1:23.409
26,15,Stefan Johansson,Ligier Judd,49,1:23.553
24,16,Luis Perez-Sala,Minardi Ford,50,1:24.369
9,17,Piercarlo Ghinzani,Zakspeed,45,1:24.660
10,18,Bernd Schneider,Zakspeed,16,1:24.704
32,19,Oscar Larrauri,Euro Brun Ford,34,1:25.057
31,20,Gabriele Tarquini,Coloni Ford,60,1:25.072
15,21,Mauricio Gugelmin,March Judd,8,1:25.246
6,22,Riccardo Patrese,Williams Judd,16,1:25.697
5,23,Nigel Mansell,Williams Judd,18,1:26.061
36,24,Alex Caffi,Dallara Ford,13,1:27.076
25,25,Rene Arnoux,Ligier Judd,8,1:27.524
