,Position,Driver,Car,Time / Gap
11,1,Alain Prost,McLaren Honda,1:19.055
28,2,Gerhard Berger,Ferrari,+0.492s
27,3,Michele Alboreto,Ferrari,+0.741s
12,4,Ayrton Senna,McLaren Honda,+1.269s
2,5,Satoru Nakajima,Lotus Honda,+1.519s
1,6,Nelson Piquet,Lotus Honda,+1.900s
17,7,Derek Warwick,Arrows Megatron,+2.294s
18,8,Eddie  Cheever,Arrows Megatron,+2.529s
20,9,Thierry Boutsen,Benetton Ford,+2.620s
19,10,Alessandro Nannini,Benetton Ford,+2.715s
15,11,Mauricio Gugelmin,March Judd,+3.265s
16,12,Ivan Capelli,March Judd,+3.331s
30,13,Philippe Alliot,Lola Ford,+3.771s
5,14,Nigel Mansell,Williams Judd,+4.218s
22,15,Andrea de Cesaris,Rial Ford,+4.227s
14,16,Philippe Streiff,AGS Ford,+4.808s
6,17,Riccardo Patrese,Williams Judd,+4.942s
32,18,Oscar Larrauri,Euro Brun Ford,+4.982s
10,19,Bernd Schneider,Zakspeed,+5.166s
26,20,Stefan Johansson,Ligier Judd,+5.464s
25,21,Rene Arnoux,Ligier Judd,+5.825s
4,22,Julian Bailey,Tyrrell Ford,+5.896s
29,23,Yannick Dalmas,Lola Ford,+5.961s
36,24,Alex Caffi,Dallara Ford,+6.155s
31,25,Gabriele Tarquini,Coloni Ford,+6.291s
24,26,Luis Perez-Sala,Minardi Ford,+6.340s
3,27,Jonathan  Palmer,Tyrrell Ford,+6.632s
9,28,Piercarlo Ghinzani,Zakspeed,+6.708s
23,29,Adrian Campos,Minardi Ford,+6.883s
21,30,Nicola Larini,Osella,+97.514s
