,Position,Driver,Car,Lap,Time
1,1,Ayrton Senna,McLaren Honda,39,1:41.532
2,2,Gerhard Berger,McLaren Honda,40,1:41.572
6,3,Riccardo Patrese,Williams Renault,27,1:41.804
19,4,Michael Schumacher,Benetton Ford,29,1:43.530
4,5,Stefano Modena,Tyrrell Honda,46,1:43.596
27,6,Alain Prost,Ferrari,36,1:43.712
7,7,Martin Brundle,Brabham Yamaha,32,1:43.959
20,8,Nelson Piquet,Benetton Ford,39,1:43.997
26,9,Erik Comas,Ligier Lamborghini,34,1:44.204
15,10,Mauricio Gugelmin,Leyton House Ilmor,29,1:44.344
23,11,Pierluigi Martini,Minardi Ferrari,30,1:44.718
30,12,Aguri Suzuki,Lola Ford,21,1:45.107
5,13,Nigel Mansell,Williams Renault,4,1:45.642
25,14,Thierry Boutsen,Ligier Lamborghini,25,1:45.723
12,15,Johnny Herbert,Lotus Judd,30,1:45.853
10,16,Alex Caffi,Footwork Porsche,28,1:45.999
32,17,Alessandro Zanardi,Jordan Ford,3,1:46.184
14,18,Gabriele Tarquini,Fondmetal Ford,50,1:46.210
3,19,Satoru Nakajima,Tyrrell Honda,18,1:46.351
24,20,Gianni Morbidelli,Minardi Ferrari,11,1:47.108
11,21,Mika Hakkinen,Lotus Judd,4,1:48.864
33,22,Andrea de Cesaris,Jordan Ford,1,1:57.393
22,23,Jyrki Jarvilehto,Dallara Judd,1,1:58.100
21,24,Emanuele Pirro,Dallara Judd,1,1:58.757
16,25,Karl Wendlinger,Leyton House Ilmor,1,2:02.942
