,Position,Driver,Car,Time / Gap
2,1,Gerhard Berger,McLaren Honda,1:35.626
1,2,Ayrton Senna,McLaren Honda,+0.009s
5,3,Nigel Mansell,Williams Renault,+0.930s
6,4,Riccardo Patrese,Williams Renault,+2.798s
19,5,Michael Schumacher,Benetton Ford,+2.856s
22,6,Jyrki Jarvilehto,Dallara Judd,+3.493s
24,7,Gianni Morbidelli,Minardi Ferrari,+3.698s
23,8,Pierluigi Martini,Minardi Ferrari,+3.815s
27,9,Alain Prost,Ferrari,+4.038s
16,10,Karl Wendlinger,Leyton House Ilmor,+4.041s
4,11,Stefano Modena,Tyrrell Honda,+4.106s
7,12,Martin Brundle,Brabham Yamaha,+4.145s
33,13,Andrea de Cesaris,Jordan Ford,+4.279s
10,14,Alex Caffi,Footwork Porsche,+4.539s
21,15,Emanuele Pirro,Dallara Judd,+4.567s
15,16,Mauricio Gugelmin,Leyton House Ilmor,+4.689s
9,17,Michele Alboreto,Footwork Porsche,+4.779s
30,18,Aguri Suzuki,Lola Ford,+4.965s
25,19,Thierry Boutsen,Ligier Lamborghini,+5.037s
20,20,Nelson Piquet,Benetton Ford,+5.103s
14,21,Gabriele Tarquini,Fondmetal Ford,+5.515s
12,22,Johnny Herbert,Lotus Judd,+5.933s
26,23,Erik Comas,Ligier Lamborghini,+6.083s
3,24,Satoru Nakajima,Tyrrell Honda,+6.333s
28,25,Jean Alesi,Ferrari,+6.472s
32,26,Alessandro Zanardi,Jordan Ford,+6.493s
11,27,Mika Hakkinen,Lotus Judd,+7.827s
35,28,Eric van de Poele,Lambo Lamborghini,+8.215s
34,29,Nicola Larini,Lambo Lamborghini,+10.350s
