,Position,Driver,Car,Time / Gap
1,1,Ayrton Senna,McLaren Honda,1:37.535
2,2,Gerhard Berger,McLaren Honda,+0.245s
5,3,Nigel Mansell,Williams Renault,+0.290s
27,4,Alain Prost,Ferrari,+2.877s
28,5,Jean Alesi,Ferrari,+2.899s
33,6,Andrea de Cesaris,Jordan Ford,+2.926s
6,7,Riccardo Patrese,Williams Renault,+3.073s
32,8,Alessandro Zanardi,Jordan Ford,+3.500s
9,9,Michele Alboreto,Footwork Porsche,+4.038s
20,10,Nelson Piquet,Benetton Ford,+4.248s
12,11,Johnny Herbert,Lotus Judd,+4.252s
10,12,Alex Caffi,Footwork Porsche,+4.497s
22,13,Jyrki Jarvilehto,Dallara Judd,+4.651s
7,14,Martin Brundle,Brabham Yamaha,+4.741s
24,15,Gianni Morbidelli,Minardi Ferrari,+4.894s
15,16,Mauricio Gugelmin,Leyton House Ilmor,+5.254s
4,17,Stefano Modena,Tyrrell Honda,+5.567s
19,18,Michael Schumacher,Benetton Ford,+5.782s
3,19,Satoru Nakajima,Tyrrell Honda,+5.918s
21,20,Emanuele Pirro,Dallara Judd,+6.039s
25,21,Thierry Boutsen,Ligier Lamborghini,+6.246s
29,22,Eric Bernard,Lola Ford,+6.601s
23,23,Pierluigi Martini,Minardi Ferrari,+7.122s
30,24,Aguri Suzuki,Lola Ford,+7.491s
11,25,Mika Hakkinen,Lotus Judd,+7.629s
16,26,Karl Wendlinger,Leyton House Ilmor,+7.781s
14,27,Gabriele Tarquini,Fondmetal Ford,+8.016s
34,28,Nicola Larini,Lambo Lamborghini,+8.020s
26,29,Erik Comas,Ligier Lamborghini,+8.292s
35,30,Eric van de Poele,Lambo Lamborghini,+12.093s
