,Position,Driver,Car,Time / Gap
2,1,Alain Prost,McLaren Honda,1:18.626
1,2,Ayrton Senna,McLaren Honda,+0.013s
27,3,Nigel Mansell,Ferrari,+0.520s
6,4,Riccardo Patrese,Williams Renault,+1.325s
16,5,Ivan Capelli,March Judd,+1.802s
36,6,Stefan Johansson,Onyx Ford,+1.940s
19,7,Alessandro Nannini,Benetton Ford,+1.987s
11,8,Nelson Piquet,Lotus Judd,+2.158s
4,9,Michele Alboreto,Tyrrell Ford,+2.205s
8,10,Stefano Modena,Brabham Judd,+2.330s
23,11,Pierluigi Martini,Minardi Ford,+2.354s
28,12,Gerhard Berger,Ferrari,+2.374s
26,13,Olivier Grouillard,Ligier Ford,+2.404s
40,14,Gabriele Tarquini,AGS Ford,+2.493s
9,15,Derek Warwick,Arrows Ford,+2.526s
5,16,Thierry Boutsen,Williams Renault,+2.532s
12,17,Satoru Nakajima,Lotus Judd,+2.573s
24,18,Luis Perez-Sala,Minardi Ford,+2.730s
22,19,Andrea de Cesaris,Dallara Ford,+3.016s
10,20,Eddie  Cheever,Arrows Ford,+3.077s
21,21,Alex Caffi,Dallara Ford,+3.134s
29,22,Yannick Dalmas,Lola Lamborghini,+3.148s
38,23,Christian Danner,Rial Ford,+3.228s
25,24,Rene Arnoux,Ligier Ford,+3.346s
20,25,Johnny Herbert,Benetton Ford,+3.525s
7,26,Martin Brundle,Brabham Judd,+3.745s
15,27,Mauricio Gugelmin,March Judd,+4.008s
3,28,Jonathan  Palmer,Tyrrell Ford,+4.051s
30,29,Philippe Alliot,Lola Lamborghini,+4.323s
31,30,Roberto Moreno,Coloni Ford,+7.629s
