,Position,Driver,Car,Lap,Time
5,1,Nigel Mansell,Williams Renault,57,1:22.539
19,2,Michael Schumacher,Benetton Ford,58,1:24.344
2,3,Gerhard Berger,McLaren Honda,56,1:24.875
6,4,Riccardo Patrese,Williams Renault,48,1:25.519
1,5,Ayrton Senna,McLaren Honda,45,1:25.825
20,6,Martin Brundle,Benetton Ford,45,1:25.859
27,7,Jean Alesi,Ferrari,36,1:26.035
15,8,Gabriele Tarquini,Fondmetal Ford,48,1:26.483
11,9,Mika Hakkinen,Lotus Ford,46,1:26.555
28,10,Ivan Capelli,Ferrari,43,1:26.871
26,11,Erik Comas,Ligier Renault,54,1:27.160
12,12,Johnny Herbert,Lotus Ford,30,1:27.428
22,13,Pierluigi Martini,Dallara Ferrari,56,1:27.495
21,14,Jyrki Jarvilehto,Dallara Ferrari,42,1:27.605
9,15,Michele Alboreto,Footwork Mugen Honda,50,1:27.869
3,16,Olivier Grouillard,Tyrrell Ilmor,38,1:28.205
32,17,Stefano Modena,Jordan Yamaha,43,1:28.322
4,18,Andrea de Cesaris,Tyrrell Ilmor,45,1:28.416
10,19,Aguri Suzuki,Footwork Mugen Honda,39,1:28.514
24,20,Gianni Morbidelli,Minardi Lamborghini,44,1:28.541
25,21,Thierry Boutsen,Ligier Renault,27,1:28.681
29,22,Bertrand Gachot,Venturi Lamborghini,27,1:29.073
33,23,Mauricio Gugelmin,Jordan Yamaha,36,1:29.627
8,24,Damon Hill,Brabham Judd,40,1:29.929
30,25,Ukyo Katayama,Venturi Lamborghini,26,1:30.128
16,26,Karl Wendlinger,March Ilmor,21,1:30.198
