,Position,Driver,Car,Time / Gap
12,1,Ayrton Senna,McLaren Honda,1:25.733
11,2,Alain Prost,McLaren Honda,+0.529s
28,3,Gerhard Berger,Ferrari,+2.888s
1,4,Nelson Piquet,Lotus Honda,+2.953s
27,5,Michele Alboreto,Ferrari,+3.459s
18,6,Eddie  Cheever,Arrows Megatron,+3.474s
16,7,Ivan Capelli,March Judd,+4.357s
36,8,Alex Caffi,Dallara Ford,+4.416s
2,9,Satoru Nakajima,Lotus Honda,+4.627s
10,10,Bernd Schneider,Zakspeed,+4.748s
17,11,Derek Warwick,Arrows Megatron,+4.937s
21,12,Nicola Larini,Osella,+4.966s
20,13,Thierry Boutsen,Benetton Ford,+5.125s
23,14,Pierluigi Martini,Minardi Ford,+5.196s
19,15,Alessandro Nannini,Benetton Ford,+5.466s
30,16,Philippe Alliot,Lola Ford,+5.690s
9,17,Piercarlo Ghinzani,Zakspeed,+5.742s
5,18,Jean Louis Schlesser,Williams Judd,+5.817s
22,19,Andrea de Cesaris,Rial Ford,+6.112s
25,20,Rene Arnoux,Ligier Judd,+6.260s
14,21,Philippe Streiff,AGS Ford,+6.288s
29,22,Yannick Dalmas,Lola Ford,+6.419s
24,23,Luis Perez-Sala,Minardi Ford,+6.444s
15,24,Mauricio Gugelmin,March Judd,+7.107s
26,25,Stefan Johansson,Ligier Judd,+7.130s
33,26,Stefano Modena,Euro Brun Ford,+7.302s
4,27,Julian Bailey,Tyrrell Ford,+7.315s
6,28,Riccardo Patrese,Williams Judd,+7.458s
31,29,Gabriele Tarquini,Coloni Ford,+7.494s
3,30,Jonathan  Palmer,Tyrrell Ford,+7.864s
