,Position,Driver,Car,Lap,Time
27,1,Michele Alboreto,Ferrari,44,1:29.070
28,2,Gerhard Berger,Ferrari,47,1:29.113
12,3,Ayrton Senna,McLaren Honda,29,1:29.569
11,4,Alain Prost,McLaren Honda,27,1:29.642
19,5,Alessandro Nannini,Benetton Ford,33,1:30.248
18,6,Eddie  Cheever,Arrows Megatron,42,1:30.452
17,7,Derek Warwick,Arrows Megatron,43,1:30.504
16,8,Ivan Capelli,March Judd,37,1:30.971
20,9,Thierry Boutsen,Benetton Ford,34,1:31.543
6,10,Riccardo Patrese,Williams Judd,26,1:31.704
1,11,Nelson Piquet,Lotus Honda,11,1:31.803
15,12,Mauricio Gugelmin,March Judd,27,1:31.832
10,13,Bernd Schneider,Zakspeed,24,1:32.054
36,14,Alex Caffi,Dallara Ford,19,1:32.735
2,15,Satoru Nakajima,Lotus Honda,11,1:32.804
22,16,Andrea de Cesaris,Rial Ford,20,1:33.007
5,17,Jean Louis Schlesser,Williams Judd,39,1:33.179
4,18,Julian Bailey,Tyrrell Ford,40,1:33.203
9,19,Piercarlo Ghinzani,Zakspeed,10,1:33.476
25,20,Rene Arnoux,Ligier Judd,42,1:33.486
30,21,Philippe Alliot,Lola Ford,28,1:33.581
14,22,Philippe Streiff,AGS Ford,31,1:33.898
23,23,Pierluigi Martini,Minardi Ford,8,1:34.420
29,24,Yannick Dalmas,Lola Ford,15,1:34.723
24,25,Luis Perez-Sala,Minardi Ford,11,1:35.020
21,26,Nicola Larini,Osella,2,1:38.570
