,Position,Driver,Car,Time / Gap
12,1,Ayrton Senna,McLaren Honda,1:27.100
11,2,Alain Prost,McLaren Honda,+0.899s
27,3,Michele Alboreto,Ferrari,+1.304s
18,4,Eddie  Cheever,Arrows Megatron,+1.373s
17,5,Derek Warwick,Arrows Megatron,+1.568s
28,6,Gerhard Berger,Ferrari,+1.786s
1,7,Nelson Piquet,Lotus Honda,+2.270s
20,8,Thierry Boutsen,Benetton Ford,+2.496s
19,9,Alessandro Nannini,Benetton Ford,+2.691s
16,10,Ivan Capelli,March Judd,+2.699s
15,11,Mauricio Gugelmin,March Judd,+3.461s
36,12,Alex Caffi,Dallara Ford,+3.777s
24,13,Luis Perez-Sala,Minardi Ford,+4.317s
22,14,Andrea de Cesaris,Rial Ford,+4.462s
6,15,Riccardo Patrese,Williams Judd,+4.500s
9,16,Piercarlo Ghinzani,Zakspeed,+4.557s
23,17,Pierluigi Martini,Minardi Ford,+4.641s
5,18,Jean Louis Schlesser,Williams Judd,+4.716s
10,19,Bernd Schneider,Zakspeed,+4.764s
30,20,Philippe Alliot,Lola Ford,+4.773s
2,21,Satoru Nakajima,Lotus Honda,+4.789s
29,22,Yannick Dalmas,Lola Ford,+4.964s
31,23,Gabriele Tarquini,Coloni Ford,+5.760s
33,24,Stefano Modena,Euro Brun Ford,+6.192s
25,25,Rene Arnoux,Ligier Judd,+6.265s
26,26,Stefan Johansson,Ligier Judd,+6.574s
21,27,Nicola Larini,Osella,+6.638s
4,28,Julian Bailey,Tyrrell Ford,+6.762s
32,29,Oscar Larrauri,Euro Brun Ford,+6.944s
3,30,Jonathan  Palmer,Tyrrell Ford,+6.997s
14,31,Philippe Streiff,AGS Ford,+7.969s
