,Position,Driver,Car,Lap,Time
1,1,Alain Prost,McLaren TAG,35,1:43.844
28,2,Gerhard Berger,Ferrari,34,1:45.540
12,3,Ayrton Senna,Lotus Honda,49,1:45.805
2,4,Stefan Johansson,McLaren TAG,34,1:46.323
27,5,Michele Alboreto,Ferrari,28,1:46.534
6,6,Nelson Piquet,Williams Honda,41,1:46.706
20,7,Thierry Boutsen,Benetton Ford,41,1:47.182
18,8,Eddie  Cheever,Arrows Megatron,41,1:47.421
11,9,Satoru Nakajima,Lotus Honda,27,1:48.206
7,10,Riccardo Patrese,Brabham BMW,24,1:48.581
19,11,Teo Fabi,Benetton Ford,9,1:49.170
17,12,Derek Warwick,Arrows Megatron,33,1:49.221
25,13,Rene Arnoux,Ligier Megatron,28,1:49.384
26,14,Piercarlo Ghinzani,Ligier Megatron,29,1:49.915
3,15,Jonathan  Palmer,Tyrrell Ford,34,1:50.111
9,16,Martin Brundle,Zakspeed,28,1:50.367
8,17,Andrea de Cesaris,Brabham BMW,18,1:50.422
4,18,Philippe Streiff,Tyrrell Ford,44,1:51.236
24,19,Alessandro Nannini,Minardi Motori Moderni,32,1:51.848
21,20,Alex Caffi,Osella Alfa Romeo,35,1:51.917
29,21,Yannick Dalmas,Lola Ford,40,1:52.080
16,22,Ivan Capelli,March Ford,13,1:52.213
10,23,Christian Danner,Zakspeed,7,1:52.813
14,24,Roberto Moreno,AGS Ford,15,1:54.015
23,25,Adrian Campos,Minardi Motori Moderni,2,1:59.121
