,Position,Driver,Car,Time
1,1,Jack Brabham,Cooper Climax,1:17.000
4,2,Graham Hill,BRM Climax,1:18.100
7,3,Stirling Moss,Lotus Climax,1:18.200
2,4,Bruce McLaren,Cooper Climax,1:18.200
14,5,Jim Clark,Lotus Climax,1:18.300
5,6,Tony Brooks,BRM Climax,1:18.300
12,7,Dan Gurney,Porsche,1:18.600
15,8,Innes Ireland,Lotus Climax,1:18.800
18,9,John Surtees,Cooper Climax,1:18.900
11,10,Jo Bonnier,Porsche,1:18.900
22,11,Masten Gregory,Lotus Climax,1:19.100
19,12,Roy Salvadori,Cooper Climax,1:19.200
16,13,Peter   Ryan,Lotus Climax,1:20.000
60,14,Walt   Hansgen,Lotus Climax,1:20.400
21,15,Olivier  Gendebien,Lotus Climax,1:20.500
6,16,Roger  Penske ,Cooper Climax,1:20.600
3,17,Hap  Sharp ,Cooper Climax,1:21.000
17,18,Jim  Hall ,Lotus Climax,1:21.800
26,19,Lloyd  Ruby ,Lotus Climax,1:21.800
