,Position,Driver,Car,Time
7,1,Graham Hill,BRM,3:45.400
17,2,Jim Clark,Lotus Climax,3:47.500
8,3,Jackie Stewart,BRM,3:48.800
10,4,Richie Ginther,Honda,3:49.000
15,5,Dan Gurney,Brabham Climax,3:49.200
1,6,John Surtees,Ferrari,3:49.500
20,7,Jo Bonnier,Brabham Climax,3:49.700
21,8,Jo Siffert,Brabham Climax,3:50.700
4,9,Bruce McLaren,Cooper Climax,3:51.300
14,10,Jack Brabham,Brabham Climax,3:51.500
11,11,Ronnie Bucknum,Honda,3:52.300
18,12,Mike Spence,Lotus Climax,3:52.600
23,13,Richard Attwood,Lotus BRM,3:53.200
5,14,Jochen Rindt,Cooper Climax,3:53.300
2,15,Lorenzo Bandini,Ferrari,3:54.000
22,16,Innes Ireland,Lotus BRM,3:57.400
27,17,Lucien Bianchi,BRM,3:59.000
26,18,Frank Gardner,Brabham Ford,3:59.400
29,19,Masten Gregory,BRM,4:02.800
