,Position,Driver,Car,Lap,Time
0,1,Damon Hill,Williams Renault,41,1:22.515
2,2,Alain Prost,Williams Renault,52,1:22.534
5,3,Michael Schumacher,Benetton Ford,51,1:22.873
26,4,Mark Blundell,Ligier Renault,51,1:24.655
8,5,Ayrton Senna,McLaren Ford,46,1:24.886
6,6,Riccardo Patrese,Benetton Ford,48,1:25.172
25,7,Martin Brundle,Ligier Renault,35,1:25.208
9,8,Derek Warwick,Footwork Mugen Honda,57,1:25.222
12,9,Johnny Herbert,Lotus Ford,32,1:25.455
30,10,Jyrki Jarvilehto,Sauber,54,1:25.547
27,11,Jean Alesi,Ferrari,57,1:25.733
14,12,Rubens Barrichello,Jordan Hart,56,1:25.848
23,13,Christian Fittipaldi,Minardi Ford,55,1:26.428
11,14,Alessandro Zanardi,Lotus Ford,32,1:26.695
29,15,Karl Wendlinger,Sauber,18,1:27.836
15,16,Thierry Boutsen,Jordan Hart,30,1:27.885
19,17,Philippe Alliot,Larrousse Lamborghini,34,1:28.106
4,18,Andrea de Cesaris,Tyrrell Yamaha,42,1:28.320
24,19,Pierluigi Martini,Minardi Ford,27,1:28.494
22,20,Luca Badoer,Lola Ferrari,29,1:29.474
10,21,Aguri Suzuki,Footwork Mugen Honda,8,1:29.968
28,22,Gerhard Berger,Ferrari,8,1:30.293
3,23,Ukyo Katayama,Tyrrell Yamaha,23,1:30.819
