,Position,Driver,Car,Time
1,1,Michael Schumacher,Ferrari,1:33.074
14,2,Mark Webber,Jaguar Cosworth,1:33.715
2,3,Rubens Barrichello,Ferrari,1:33.756
3,4,Juan Pablo Montoya,Williams BMW,1:34.054
6,5,Kimi Räikkönen,McLaren Mercedes,1:34.164
9,6,Jenson Button,BAR Honda,1:34.221
4,7,Ralf Schumacher,Williams BMW,1:34.235
7,8,Jarno Trulli,Renault,1:34.413
5,9,David Coulthard,McLaren Mercedes,1:34.602
16,10,Cristiano da Matta,Toyota,1:34.917
12,11,Felipe Massa,Sauber Petronas,1:35.039
11,12,Giancarlo Fisichella,Sauber Petronas,1:35.061
15,13,Christian Klien,Jaguar Cosworth,1:35.158
17,14,Olivier Panis,Toyota,1:35.617
18,15,Nick Heidfeld,Jordan Ford,1:36.569
20,16,Gianmaria Bruni,Minardi Cosworth,1:38.577
21,17,Zsolt Baumgartner,Minardi Cosworth,1:39.272
19,18,Giorgio Pantano,Jordan Ford,1:39.902
8,19,Fernando Alonso,Renault,
10,20,Takuma Sato,BAR Honda,
