,Position,Driver,Car,Time
44,1,Lewis Hamilton,Mercedes,1:07.281
5,2,Sebastian Vettel,Ferrari,1:07.374
77,3,Valtteri Bottas,Mercedes,1:07.441
7,4,Kimi Räikkönen,Ferrari,1:07.456
33,5,Max Verstappen,Red Bull Racing TAG Heuer,1:07.778
9,6,Marcus Ericsson,Sauber Ferrari,1:08.296
16,7,Charles Leclerc,Sauber Ferrari,1:08.492
8,8,Romain Grosjean,Haas Ferrari,1:08.517
10,9,Pierre Gasly,Scuderia Toro Rosso Honda,1:09.029
20,10,Kevin Magnussen,Haas Ferrari,1:08.659
3,11,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:07.780
11,12,Sergio Perez,Force India Mercedes,1:08.741
27,13,Nico Hulkenberg,Renault,1:08.834
35,14,Sergey Sirotkin,Williams Mercedes,1:10.381
55,15,Carlos Sainz,Renault,1:09.269
28,16,Brendon Hartley,Scuderia Toro Rosso Honda,1:09.280
14,17,Fernando Alonso,McLaren Renault,1:09.402
31,18,Esteban Ocon,Force India Mercedes,1:08.770
18,19,Lance Stroll,Williams Mercedes,1:09.441
2,20,Stoffel Vandoorne,McLaren Renault,1:09.601
