,Position,Driver,Car,Lap,Time
11,1,Alain Prost,McLaren Honda,51,1:30.639
12,2,Ayrton Senna,McLaren Honda,67,1:30.964
20,3,Thierry Boutsen,Benetton Ford,55,1:31.272
5,4,Nigel Mansell,Williams Judd,41,1:31.735
15,5,Mauricio Gugelmin,March Judd,46,1:32.235
28,6,Gerhard Berger,Ferrari,37,1:32.241
19,7,Alessandro Nannini,Benetton Ford,19,1:32.564
6,8,Riccardo Patrese,Williams Judd,21,1:32.569
1,9,Nelson Piquet,Lotus Honda,12,1:32.783
27,10,Michele Alboreto,Ferrari,22,1:33.080
22,11,Andrea de Cesaris,Rial Ford,28,1:33.529
24,12,Luis Perez-Sala,Minardi Ford,56,1:33.615
36,13,Alex Caffi,Dallara Ford,19,1:33.761
17,14,Derek Warwick,Arrows Megatron,39,1:34.078
29,15,Yannick Dalmas,Lola Ford,56,1:34.120
2,16,Satoru Nakajima,Lotus Honda,36,1:34.138
18,17,Eddie  Cheever,Arrows Megatron,36,1:34.226
23,18,Pierluigi Martini,Minardi Ford,6,1:34.897
30,19,Philippe Alliot,Lola Ford,5,1:35.432
33,20,Stefano Modena,Euro Brun Ford,22,1:35.536
26,21,Stefan Johansson,Ligier Judd,5,1:35.759
25,22,Rene Arnoux,Ligier Judd,5,1:35.940
31,23,Gabriele Tarquini,Coloni Ford,20,1:36.008
14,24,Philippe Streiff,AGS Ford,5,1:36.339
3,25,Jonathan  Palmer,Tyrrell Ford,3,1:36.660
16,26,Ivan Capelli,March Judd,1,1:44.982
