,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Judd,1:59.042
19,2,Alessandro Nannini,Benetton Ford,+0.297s
4,3,Julian Bailey,Tyrrell Ford,+1.936s
17,4,Derek Warwick,Arrows Megatron,+2.286s
36,5,Alex Caffi,Dallara Ford,+2.551s
15,6,Mauricio Gugelmin,March Judd,+2.567s
12,7,Ayrton Senna,McLaren Honda,+2.838s
18,8,Eddie  Cheever,Arrows Megatron,+2.920s
24,9,Luis Perez-Sala,Minardi Ford,+3.575s
20,10,Thierry Boutsen,Benetton Ford,+3.631s
23,11,Pierluigi Martini,Minardi Ford,+3.881s
32,12,Oscar Larrauri,Euro Brun Ford,+4.301s
31,13,Gabriele Tarquini,Coloni Ford,+4.329s
16,14,Ivan Capelli,March Judd,+4.653s
27,15,Michele Alboreto,Ferrari,+4.979s
33,16,Stefano Modena,Euro Brun Ford,+5.126s
25,17,Rene Arnoux,Ligier Judd,+5.488s
3,18,Jonathan  Palmer,Tyrrell Ford,+5.492s
10,19,Bernd Schneider,Zakspeed,+6.038s
29,20,Yannick Dalmas,Lola Ford,+6.312s
21,21,Nicola Larini,Osella,+6.584s
14,22,Philippe Streiff,AGS Ford,+7.754s
9,23,Piercarlo Ghinzani,Zakspeed,+7.911s
28,24,Gerhard Berger,Ferrari,+8.782s
22,25,Andrea de Cesaris,Rial Ford,+13.202s
26,26,Stefan Johansson,Ligier Judd,+16.175s
30,27,Philippe Alliot,Lola Ford,+19.711s
6,28,Riccardo Patrese,Williams Judd,
11,29,Alain Prost,McLaren Honda,
