,Position,Driver,Car,Lap,Time
4,1,Heinz-Harald Frentzen,Williams Renault,25,1:18.372
3,2,Jacques Villeneuve,Williams Renault,15,1:19.066
12,3,Giancarlo Fisichella,Jordan Peugeot,37,1:19.366
6,4,Eddie Irvine,Ferrari,44,1:19.527
1,5,Damon Hill,Arrows Yamaha,13,1:19.648
11,6,Ralf Schumacher,Jordan Peugeot,48,1:19.651
5,7,Michael Schumacher,Ferrari,28,1:19.684
8,8,Gerhard Berger,Benetton Renault,52,1:19.923
15,9,Shinji Nakano,Prost Mugen Honda,26,1:20.003
9,10,Mika Hakkinen,McLaren Mercedes,4,1:20.161
2,11,Pedro Diniz,Arrows Yamaha,46,1:20.317
10,12,David Coulthard,McLaren Mercedes,19,1:20.329
7,13,Jean Alesi,Benetton Renault,57,1:20.573
16,14,Johnny Herbert,Sauber Petronas,28,1:20.606
20,15,Ukyo Katayama,Minardi Hart,46,1:20.672
14,16,Jarno Trulli,Prost Mugen Honda,71,1:21.074
17,17,Gianni Morbidelli,Sauber Petronas,4,1:21.167
22,18,Rubens Barrichello,Stewart Ford,23,1:21.409
19,19,Mika Salo,Tyrrell Ford,67,1:21.578
23,20,Jan Magnussen,Stewart Ford,3,1:21.628
18,21,Jos Verstappen,Tyrrell Ford,43,1:21.676
21,22,Tarso Marques,Minardi Hart,45,1:21.874
