,Position,Driver,Car,Time / Gap
0,1,Damon Hill,Williams Renault,1:39.737
7,2,Mika Hakkinen,McLaren Ford,+0.266s
27,3,Jean Alesi,Ferrari,+0.991s
5,4,Michael Schumacher,Benetton Ford,+1.276s
15,5,Eddie Irvine,Jordan Hart,+2.180s
28,6,Gerhard Berger,Ferrari,+2.194s
9,7,Derek Warwick,Footwork Mugen Honda,+2.269s
12,8,Johnny Herbert,Lotus Ford,+2.456s
25,9,Martin Brundle,Ligier Renault,+2.604s
30,10,Jyrki Jarvilehto,Sauber,+2.679s
10,11,Aguri Suzuki,Footwork Mugen Honda,+2.736s
14,12,Rubens Barrichello,Jordan Hart,+3.052s
8,13,Ayrton Senna,McLaren Ford,+3.121s
26,14,Mark Blundell,Ligier Renault,+3.177s
4,15,Andrea de Cesaris,Tyrrell Yamaha,+4.067s
6,16,Riccardo Patrese,Benetton Ford,+4.602s
3,17,Ukyo Katayama,Tyrrell Yamaha,+5.185s
24,18,Pierluigi Martini,Minardi Ford,+5.475s
11,19,Pedro Lamy,Lotus Ford,+6.629s
20,20,Erik Comas,Larrousse Lamborghini,+7.777s
19,21,Toshio  Suzuki,Larrousse Lamborghini,+7.861s
23,22,Jean-Marc Gounon,Minardi Ford,+9.348s
29,23,Karl Wendlinger,Sauber,+10.342s
2,24,Alain Prost,Williams Renault,+38.145s
