,Position,Driver,Car,Time
4,1,Clay Regazzoni,Ferrari,1:41.860
1,2,Jackie Stewart,Tyrrell Ford,1:41.880
3,3,Jacky Ickx,Ferrari,1:42.410
15,4,Jack Brabham,Brabham Ford,1:43.570
12,5,Chris Amon,March Ford,1:43.710
6,6,Jean-Pierre Beltoise,Matra,1:43.820
19,7,Pedro Rodriguez,BRM,1:44.010
14,8,Graham Hill,Lotus Ford,1:44.130
2,9,Francois  Cevert ,Tyrrell Ford,1:44.210
9,10,Peter  Gethin ,McLaren Alfa Romeo,1:44.460
7,11,Henri Pescarolo,Matra,1:44.550
23,12,Reine   Wisell,Lotus Ford,1:44.590
20,13,Jackie Oliver,BRM,1:44.700
8,14,Denny Hulme,McLaren Alfa Romeo,1:44.950
17,15,John Surtees,McLaren Ford,1:45.030
11,16,Jo Siffert,March Ford,1:46.150
16,17,Rolf Stommelen,Brabham Ford,1:46.300
24,18,Emerson Fittipaldi,Lotus Ford,1:48.130
