,Position,Driver,Car,Time / Gap
28,1,Gerhard Berger,Ferrari,1:45.985
17,2,Derek Warwick,Arrows Megatron,+3.211s
12,3,Ayrton Senna,McLaren Honda,+3.574s
5,4,Nigel Mansell,Williams Judd,+4.215s
27,5,Michele Alboreto,Ferrari,+4.717s
19,6,Alessandro Nannini,Benetton Ford,+4.892s
20,7,Thierry Boutsen,Benetton Ford,+5.725s
26,8,Stefan Johansson,Ligier Judd,+6.888s
10,9,Bernd Schneider,Zakspeed,+7.066s
14,10,Philippe Streiff,AGS Ford,+7.293s
25,11,Rene Arnoux,Ligier Judd,+7.298s
9,12,Piercarlo Ghinzani,Zakspeed,+7.549s
30,13,Philippe Alliot,Lola Ford,+7.791s
3,14,Jonathan  Palmer,Tyrrell Ford,+7.870s
36,15,Alex Caffi,Dallara Ford,+8.023s
15,16,Mauricio Gugelmin,March Judd,+8.649s
23,17,Adrian Campos,Minardi Ford,+9.041s
11,18,Alain Prost,McLaren Honda,+9.126s
16,19,Ivan Capelli,March Judd,+9.161s
1,20,Nelson Piquet,Lotus Honda,+9.201s
24,21,Luis Perez-Sala,Minardi Ford,+9.688s
4,22,Julian Bailey,Tyrrell Ford,+10.905s
32,23,Oscar Larrauri,Euro Brun Ford,+11.133s
21,24,Nicola Larini,Osella,+11.171s
2,25,Satoru Nakajima,Lotus Honda,+11.350s
18,26,Eddie  Cheever,Arrows Megatron,+12.787s
31,27,Gabriele Tarquini,Coloni Ford,+13.923s
6,28,Riccardo Patrese,Williams Judd,+14.008s
22,29,Andrea de Cesaris,Rial Ford,+14.926s
29,30,Yannick Dalmas,Lola Ford,
