,Position,Driver,Car,Time / Gap
12,1,Ayrton Senna,McLaren Honda,1:25.385
11,2,Alain Prost,McLaren Honda,+0.978s
5,3,Nigel Mansell,Williams Judd,+2.325s
28,4,Gerhard Berger,Ferrari,+2.339s
17,5,Derek Warwick,Arrows Megatron,+2.963s
27,6,Michele Alboreto,Ferrari,+3.399s
19,7,Alessandro Nannini,Benetton Ford,+3.614s
1,8,Nelson Piquet,Lotus Honda,+3.830s
30,9,Philippe Alliot,Lola Ford,+3.913s
18,10,Eddie  Cheever,Arrows Megatron,+4.199s
32,11,Oscar Larrauri,Euro Brun Ford,+4.364s
24,12,Luis Perez-Sala,Minardi Ford,+4.382s
3,13,Jonathan  Palmer,Tyrrell Ford,+4.585s
29,14,Yannick Dalmas,Lola Ford,+4.706s
25,15,Rene Arnoux,Ligier Judd,+4.806s
14,16,Philippe Streiff,AGS Ford,+4.947s
2,17,Satoru Nakajima,Lotus Honda,+5.017s
15,18,Mauricio Gugelmin,March Judd,+5.018s
20,19,Thierry Boutsen,Benetton Ford,+5.206s
31,20,Gabriele Tarquini,Coloni Ford,+5.273s
21,21,Nicola Larini,Osella,+5.428s
16,22,Ivan Capelli,March Judd,+5.481s
22,23,Andrea de Cesaris,Rial Ford,+5.535s
9,24,Piercarlo Ghinzani,Zakspeed,+5.631s
36,25,Alex Caffi,Dallara Ford,+5.695s
26,26,Stefan Johansson,Ligier Judd,+5.881s
23,27,Adrian Campos,Minardi Ford,+6.179s
4,28,Julian Bailey,Tyrrell Ford,+6.740s
10,29,Bernd Schneider,Zakspeed,+7.543s
6,30,Riccardo Patrese,Williams Judd,+186.193s
