,Position,Driver,Car,Lap,Time
9,1,Mika Hakkinen,McLaren Mercedes,49,1:24.808
4,2,Heinz-Harald Frentzen,Williams Renault,47,1:25.600
8,3,Gerhard Berger,Benetton Renault,47,1:25.653
6,4,Eddie Irvine,Ferrari,53,1:25.655
3,5,Jacques Villeneuve,Williams Renault,20,1:25.715
5,6,Michael Schumacher,Ferrari,47,1:25.863
11,7,Ralf Schumacher,Jordan Peugeot,31,1:25.909
12,8,Giancarlo Fisichella,Jordan Peugeot,28,1:25.960
10,9,David Coulthard,McLaren Mercedes,31,1:25.975
7,10,Jean Alesi,Benetton Renault,52,1:26.067
15,11,Shinji Nakano,Prost Mugen Honda,53,1:26.383
16,12,Johnny Herbert,Sauber Petronas,27,1:26.572
14,13,Jarno Trulli,Prost Mugen Honda,44,1:26.718
1,14,Damon Hill,Arrows Yamaha,27,1:27.081
17,15,Gianni Morbidelli,Sauber Petronas,26,1:27.257
23,16,Jan Magnussen,Stewart Ford,21,1:27.447
22,17,Rubens Barrichello,Stewart Ford,20,1:27.571
19,18,Mika Salo,Tyrrell Ford,12,1:28.004
18,19,Jos Verstappen,Tyrrell Ford,9,1:28.227
2,20,Pedro Diniz,Arrows Yamaha,3,1:28.569
21,21,Tarso Marques,Minardi Hart,7,1:29.116
20,22,Ukyo Katayama,Minardi Hart,3,1:29.133
