,Position,Driver,Car,Time
2,1,Felipe Massa,Ferrari,1:35.748
1,2,Kimi Räikkönen,Ferrari,1:36.230
11,3,Jarno Trulli,Toyota,1:36.711
4,4,Robert Kubica,Sauber BMW,1:36.727
3,5,Nick Heidfeld,Sauber BMW,1:36.753
10,6,Mark Webber,Red Bull Renault,1:37.009
5,7,Fernando Alonso,Renault,1:38.450
23,8,Heikki Kovalainen,McLaren Mercedes,1:36.613
22,9,Lewis Hamilton,McLaren Mercedes,1:36.709
12,10,Timo Glock,Toyota,1:39.656
16,11,Jenson Button,Honda,1:35.208
9,12,David Coulthard,Red Bull Renault,1:35.408
6,13,Nelson Piquet,Renault,1:35.562
17,14,Rubens Barrichello,Honda,1:35.622
15,15,Sebastian Vettel,STR Ferrari,1:35.648
7,16,Nico Rosberg,Williams Toyota,1:35.670
21,17,Giancarlo Fisichella,Force India Ferrari,1:36.240
14,18,Sebastien Bourdais,STR Ferrari,1:36.677
18,19,Takuma Sato,Super Aguri Honda,1:37.087
20,20,Adrian Sutil,Force India Ferrari,1:37.101
19,21,Anthony Davidson,Super Aguri Honda,1:37.481
8,22,Kazuki Nakajima,Williams Toyota,1:36.388
