,Position,Driver,Car,Time
44,1,Lewis Hamilton,Mercedes,1:33.108
5,2,Sebastian Vettel,Ferrari,1:33.347
77,3,Valtteri Bottas,Mercedes,1:33.568
3,4,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:33.577
7,5,Kimi Räikkönen,Ferrari,1:33.577
31,6,Esteban Ocon,Force India Mercedes,1:34.647
55,7,Carlos Sainz,Renault,1:34.852
14,8,Fernando Alonso,McLaren Honda,1:35.007
11,9,Sergio Perez,Force India Mercedes,1:35.148
19,10,Felipe Massa,Williams Mercedes,1:35.155
26,11,Daniil Kvyat,Toro Rosso,1:35.529
8,12,Romain Grosjean,Haas Ferrari,1:35.870
9,13,Marcus Ericsson,Sauber Ferrari,1:36.842
94,14,Pascal Wehrlein,Sauber Ferrari,1:37.179
18,15,Lance Stroll,Williams Mercedes,1:36.868
33,16,Max Verstappen,Red Bull Racing TAG Heuer,1:33.658
20,17,Kevin Magnussen,Haas Ferrari,1:37.394
27,18,Nico Hulkenberg,Renault,
39,19,Brendon Hartley,Toro Rosso,1:36.889
2,20,Stoffel Vandoorne,McLaren Honda,1:35.641
