,Position,Driver,Car,Time / Gap
8,1,Ayrton Senna,McLaren Ford,1:25.205
2,2,Alain Prost,Williams Renault,+0.154s
28,3,Gerhard Berger,Ferrari,+0.794s
25,4,Martin Brundle,Ligier Renault,+1.503s
6,5,Riccardo Patrese,Benetton Ford,+1.532s
30,6,Jyrki Jarvilehto,Sauber,+2.265s
26,7,Mark Blundell,Ligier Renault,+2.456s
20,8,Erik Comas,Larrousse Lamborghini,+2.620s
0,9,Damon Hill,Williams Renault,+2.808s
5,10,Michael Schumacher,Benetton Ford,+2.859s
29,11,Karl Wendlinger,Sauber,+2.882s
27,12,Jean Alesi,Ferrari,+2.984s
19,13,Philippe Alliot,Larrousse Lamborghini,+3.225s
12,14,Johnny Herbert,Lotus Ford,+3.443s
9,15,Derek Warwick,Footwork Mugen Honda,+3.577s
10,16,Aguri Suzuki,Footwork Mugen Honda,+4.360s
11,17,Alessandro Zanardi,Lotus Ford,+5.003s
7,18,Michael Andretti,McLaren Ford,+5.708s
24,19,Fabrizio Barbazza,Minardi Ford,+6.639s
23,20,Christian Fittipaldi,Minardi Ford,+6.713s
21,21,Michele Alboreto,Lola Ferrari,+7.888s
14,22,Rubens Barrichello,Jordan Hart,+8.098s
4,23,Andrea de Cesaris,Tyrrell Yamaha,+8.471s
22,24,Luca Badoer,Lola Ferrari,+8.580s
15,25,Thierry Boutsen,Jordan Hart,+17.370s
3,26,Ukyo Katayama,Tyrrell Yamaha,+27.712s
