,Position,Driver,Car,Lap,Time
27,1,Nigel Mansell,Ferrari,57,1:12.017
2,2,Alain Prost,McLaren Honda,58,1:12.193
19,3,Alessandro Nannini,Benetton Ford,54,1:12.397
28,4,Gerhard Berger,Ferrari,29,1:13.477
11,5,Nelson Piquet,Lotus Judd,55,1:13.565
15,6,Mauricio Gugelmin,March Judd,27,1:13.735
1,7,Ayrton Senna,McLaren Honda,10,1:13.737
16,8,Ivan Capelli,March Judd,8,1:14.224
5,9,Thierry Boutsen,Williams Renault,57,1:14.248
23,10,Pierluigi Martini,Minardi Ford,55,1:14.388
26,11,Olivier Grouillard,Ligier Ford,54,1:14.446
37,12,Bertrand Gachot,Onyx Ford,62,1:14.484
24,13,Luis Perez-Sala,Minardi Ford,61,1:14.492
6,14,Riccardo Patrese,Williams Renault,17,1:14.586
12,15,Satoru Nakajima,Lotus Judd,57,1:14.720
20,16,Emanuele Pirro,Benetton Ford,61,1:15.293
7,17,Martin Brundle,Brabham Judd,49,1:15.363
30,18,Philippe Alliot,Lola Lamborghini,34,1:15.405
9,19,Derek Warwick,Arrows Ford,60,1:15.443
8,20,Stefano Modena,Brabham Judd,31,1:15.489
4,21,Jean Alesi,Tyrrell Ford,26,1:15.519
3,22,Jonathan  Palmer,Tyrrell Ford,27,1:15.931
29,23,Eric Bernard,Lola Lamborghini,4,1:16.264
17,24,Nicola Larini,Osella Ford,22,1:16.901
22,25,Andrea de Cesaris,Dallara Ford,3,1:18.076
31,26,Roberto Moreno,Coloni Ford,2,1:20.498
