,Position,Driver,Car,Lap,Time
6,1,Riccardo Patrese,Williams Renault,63,1:22.058
28,2,Gerhard Berger,McLaren Honda,52,1:22.122
2,3,Nigel Mansell,Ferrari,58,1:22.235
12,4,Martin Donnelly,Lotus Lamborghini,58,1:22.561
27,5,Ayrton Senna,McLaren Honda,58,1:22.577
19,6,Alessandro Nannini,Benetton Ford,58,1:22.639
25,7,Nicola Larini,Ligier Ford,60,1:23.147
20,8,Nelson Piquet,Benetton Ford,59,1:23.164
29,9,Eric Bernard,Lola Lamborghini,32,1:23.864
5,10,Thierry Boutsen,Williams Renault,59,1:23.934
15,11,Mauricio Gugelmin,Leyton House Judd,53,1:24.062
26,12,Philippe Alliot,Ligier Ford,66,1:24.073
11,13,Derek Warwick,Lotus Lamborghini,35,1:24.140
1,14,Alain Prost,Ferrari,17,1:24.214
16,15,Ivan Capelli,Leyton House Judd,36,1:24.245
10,16,Alex Caffi,Arrows Ford,60,1:24.388
4,17,Jean Alesi,Tyrrell Ford,14,1:24.414
9,18,Michele Alboreto,Arrows Ford,46,1:24.418
21,19,Emanuele Pirro,Dallara Ford,69,1:24.765
17,20,Gabriele Tarquini,AGS Ford,52,1:24.921
30,21,Aguri Suzuki,Lola Lamborghini,31,1:25.209
22,22,Andrea de Cesaris,Dallara Ford,18,1:25.523
24,23,Paolo Barilla,Minardi Ford,60,1:25.710
23,24,Pierluigi Martini,Minardi Ford,32,1:25.930
8,25,Stefano Modena,Brabham Judd,29,1:26.474
3,26,Satoru Nakajima,Tyrrell Ford,5,1:27.900
