,Position,Driver,Car,Time / Gap
27,1,Ayrton Senna,McLaren Honda,1:19.186
19,2,Alessandro Nannini,Benetton Ford,+0.026s
28,3,Gerhard Berger,McLaren Honda,+0.337s
2,4,Nigel Mansell,Ferrari,+0.478s
6,5,Riccardo Patrese,Williams Renault,+0.679s
12,6,Martin Donnelly,Lotus Lamborghini,+0.725s
29,7,Eric Bernard,Lola Lamborghini,+0.830s
5,8,Thierry Boutsen,Williams Renault,+1.186s
25,9,Nicola Larini,Ligier Ford,+1.416s
21,10,Emanuele Pirro,Dallara Ford,+1.461s
20,11,Nelson Piquet,Benetton Ford,+1.701s
22,12,Andrea de Cesaris,Dallara Ford,+1.879s
11,13,Derek Warwick,Lotus Lamborghini,+2.064s
3,14,Satoru Nakajima,Tyrrell Ford,+2.108s
1,15,Alain Prost,Ferrari,+2.175s
26,16,Philippe Alliot,Ligier Ford,+2.266s
30,17,Aguri Suzuki,Lola Lamborghini,+2.538s
23,18,Pierluigi Martini,Minardi Ford,+2.541s
8,19,Stefano Modena,Brabham Judd,+2.716s
24,20,Paolo Barilla,Minardi Ford,+2.841s
15,21,Mauricio Gugelmin,Leyton House Judd,+3.176s
10,22,Alex Caffi,Arrows Ford,+3.247s
7,23,David Brabham,Brabham Judd,+3.265s
17,24,Gabriele Tarquini,AGS Ford,+3.648s
18,25,Yannick Dalmas,AGS Ford,+3.656s
16,26,Ivan Capelli,Leyton House Judd,+3.695s
36,27,Jyrki Jarvilehto,Onyx Ford,+4.045s
9,28,Michele Alboreto,Arrows Ford,+4.089s
4,29,Jean Alesi,Tyrrell Ford,+5.515s
35,30,Gregor Foitek,Onyx Ford,+5.915s
