,Position,Driver,Car,Time / Gap
4,1,Jean Alesi,Tyrrell Ford,1:19.528
27,2,Ayrton Senna,McLaren Honda,+0.592s
2,3,Nigel Mansell,Ferrari,+0.601s
29,4,Eric Bernard,Lola Lamborghini,+1.440s
6,5,Riccardo Patrese,Williams Renault,+1.499s
5,6,Thierry Boutsen,Williams Renault,+1.515s
23,7,Pierluigi Martini,Minardi Ford,+1.574s
8,8,Stefano Modena,Brabham Judd,+1.878s
1,9,Alain Prost,Ferrari,+1.952s
22,10,Andrea de Cesaris,Dallara Ford,+2.175s
28,11,Gerhard Berger,McLaren Honda,+2.252s
11,12,Derek Warwick,Lotus Lamborghini,+2.252s
25,13,Nicola Larini,Ligier Ford,+2.331s
19,14,Alessandro Nannini,Benetton Ford,+2.443s
20,15,Nelson Piquet,Benetton Ford,+2.729s
21,16,Emanuele Pirro,Dallara Ford,+2.839s
24,17,Paolo Barilla,Minardi Ford,+3.029s
12,18,Martin Donnelly,Lotus Lamborghini,+3.512s
15,19,Mauricio Gugelmin,Leyton House Judd,+3.637s
10,20,Alex Caffi,Arrows Ford,+3.702s
16,21,Ivan Capelli,Leyton House Judd,+3.785s
9,22,Michele Alboreto,Arrows Ford,+3.903s
30,23,Aguri Suzuki,Lola Lamborghini,+4.017s
26,24,Philippe Alliot,Ligier Ford,+4.022s
17,25,Gabriele Tarquini,AGS Ford,+4.273s
35,26,Gregor Foitek,Onyx Ford,+4.282s
18,27,Yannick Dalmas,AGS Ford,+4.565s
3,28,Satoru Nakajima,Tyrrell Ford,+4.808s
7,29,David Brabham,Brabham Judd,+4.877s
36,30,Jyrki Jarvilehto,Onyx Ford,+5.988s
