,Position,Driver,Car,Time / Gap
2,1,Alain Prost,McLaren Honda,1:21.855
27,2,Nigel Mansell,Ferrari,+0.440s
6,3,Riccardo Patrese,Williams Renault,+0.492s
21,4,Alex Caffi,Dallara Ford,+0.706s
1,5,Ayrton Senna,McLaren Honda,+0.743s
28,6,Gerhard Berger,Ferrari,+0.816s
24,7,Luis Perez-Sala,Minardi Ford,+0.942s
19,8,Alessandro Nannini,Benetton Ford,+1.209s
18,9,Piercarlo Ghinzani,Osella Ford,+1.231s
23,10,Pierluigi Martini,Minardi Ford,+1.314s
37,11,Bertrand Gachot,Onyx Ford,+1.635s
10,12,Eddie  Cheever,Arrows Ford,+1.665s
9,13,Derek Warwick,Arrows Ford,+1.709s
5,14,Thierry Boutsen,Williams Renault,+1.724s
7,15,Martin Brundle,Brabham Judd,+2.139s
11,16,Nelson Piquet,Lotus Judd,+2.173s
36,17,Stefan Johansson,Onyx Ford,+2.338s
29,18,Michele Alboreto,Lola Lamborghini,+2.732s
12,19,Satoru Nakajima,Lotus Judd,+2.794s
15,20,Mauricio Gugelmin,March Judd,+2.865s
20,21,Emanuele Pirro,Benetton Ford,+2.880s
4,22,Jean Alesi,Tyrrell Ford,+2.921s
8,23,Stefano Modena,Brabham Judd,+3.278s
22,24,Andrea de Cesaris,Dallara Ford,+3.333s
16,25,Ivan Capelli,March Judd,+3.408s
25,26,Rene Arnoux,Ligier Ford,+3.729s
26,27,Olivier Grouillard,Ligier Ford,+4.138s
39,28,Volker Weidler,Rial Ford,+5.289s
3,29,Jonathan  Palmer,Tyrrell Ford,+5.700s
38,30,Christian Danner,Rial Ford,+5.780s
