,Position,Driver,Car,Time / Gap
19,1,Alessandro Nannini,Benetton Ford,1:21.231
21,2,Alex Caffi,Dallara Ford,+0.060s
6,3,Riccardo Patrese,Williams Renault,+0.247s
28,4,Gerhard Berger,Ferrari,+0.676s
5,5,Thierry Boutsen,Williams Renault,+0.688s
1,6,Ayrton Senna,McLaren Honda,+0.746s
2,7,Alain Prost,McLaren Honda,+0.835s
36,8,Stefan Johansson,Onyx Ford,+1.016s
7,9,Martin Brundle,Brabham Judd,+1.047s
27,10,Nigel Mansell,Ferrari,+1.142s
22,11,Andrea de Cesaris,Dallara Ford,+1.304s
20,12,Emanuele Pirro,Benetton Ford,+1.307s
15,13,Mauricio Gugelmin,March Judd,+1.410s
10,14,Eddie  Cheever,Arrows Ford,+1.741s
12,15,Satoru Nakajima,Lotus Judd,+1.764s
9,16,Derek Warwick,Arrows Ford,+1.835s
16,17,Ivan Capelli,March Judd,+1.845s
8,18,Stefano Modena,Brabham Judd,+1.872s
4,19,Jean Alesi,Tyrrell Ford,+1.911s
11,20,Nelson Piquet,Lotus Judd,+2.074s
18,21,Piercarlo Ghinzani,Osella Ford,+2.521s
23,22,Pierluigi Martini,Minardi Ford,+2.568s
37,23,Bertrand Gachot,Onyx Ford,+2.755s
3,24,Jonathan  Palmer,Tyrrell Ford,+2.764s
26,25,Olivier Grouillard,Ligier Ford,+3.145s
29,26,Michele Alboreto,Lola Lamborghini,+4.099s
38,27,Christian Danner,Rial Ford,+4.534s
39,28,Volker Weidler,Rial Ford,+4.941s
24,29,Luis Perez-Sala,Minardi Ford,+5.955s
