,Position,Driver,Car,Time / Gap
2,1,Alain Prost,McLaren Honda,1:25.613
1,2,Ayrton Senna,McLaren Honda,+0.128s
27,3,Nigel Mansell,Ferrari,+0.271s
9,4,Derek Warwick,Arrows Ford,+1.195s
5,5,Thierry Boutsen,Williams Renault,+1.430s
7,6,Martin Brundle,Brabham Judd,+2.111s
22,7,Andrea de Cesaris,Dallara Ford,+2.380s
8,8,Stefano Modena,Brabham Judd,+2.471s
40,9,Gabriele Tarquini,AGS Ford,+2.503s
19,10,Alessandro Nannini,Benetton Ford,+2.544s
30,11,Philippe Alliot,Lola Lamborghini,+3.184s
21,12,Alex Caffi,Dallara Ford,+3.262s
10,13,Eddie  Cheever,Arrows Ford,+3.455s
15,14,Mauricio Gugelmin,March Judd,+3.481s
23,15,Pierluigi Martini,Minardi Ford,+3.537s
11,16,Nelson Piquet,Lotus Judd,+3.549s
12,17,Satoru Nakajima,Lotus Judd,+3.924s
6,18,Riccardo Patrese,Williams Renault,+4.163s
3,19,Jonathan  Palmer,Tyrrell Ford,+4.287s
24,20,Luis Perez-Sala,Minardi Ford,+4.336s
26,21,Olivier Grouillard,Ligier Ford,+5.509s
38,22,Christian Danner,Rial Ford,+5.654s
20,23,Johnny Herbert,Benetton Ford,+6.321s
31,24,Roberto Moreno,Coloni Ford,+6.460s
25,25,Rene Arnoux,Ligier Ford,+6.933s
29,26,Yannick Dalmas,Lola Lamborghini,+7.381s
32,27,Pierre Henri Raphanel,Coloni Ford,+7.401s
16,28,Ivan Capelli,March Judd,+7.931s
