,Position,Driver,Car,Time / Gap
6,1,Riccardo Patrese,Williams Renault,1:15.882
2,2,Gerhard Berger,McLaren Honda,+0.821s
1,3,Ayrton Senna,McLaren Honda,+1.002s
5,4,Nigel Mansell,Williams Renault,+1.545s
19,5,Michael Schumacher,Benetton Ford,+2.216s
20,6,Martin Brundle,Benetton Ford,+3.443s
15,7,Gabriele Tarquini,Fondmetal Ford,+3.878s
29,8,Bertrand Gachot,Venturi Lamborghini,+3.896s
28,9,Ivan Capelli,Ferrari,+4.033s
16,10,Karl Wendlinger,March Ilmor,+4.070s
26,11,Erik Comas,Ligier Renault,+4.121s
27,12,Jean Alesi,Ferrari,+4.436s
30,13,Ukyo Katayama,Venturi Lamborghini,+4.710s
25,14,Thierry Boutsen,Ligier Renault,+4.751s
12,15,Johnny Herbert,Lotus Ford,+4.814s
9,16,Michele Alboreto,Footwork Mugen Honda,+4.873s
24,17,Gianni Morbidelli,Minardi Lamborghini,+5.020s
33,18,Mauricio Gugelmin,Jordan Yamaha,+5.040s
10,19,Aguri Suzuki,Footwork Mugen Honda,+5.222s
3,20,Olivier Grouillard,Tyrrell Ilmor,+5.346s
4,21,Andrea de Cesaris,Tyrrell Ilmor,+5.787s
32,22,Stefano Modena,Jordan Yamaha,+5.843s
22,23,Pierluigi Martini,Dallara Ferrari,+6.264s
11,24,Mika Hakkinen,Lotus Ford,+6.379s
34,25,Roberto Moreno,Moda Judd,+6.397s
21,26,Jyrki Jarvilehto,Dallara Ferrari,+6.856s
8,27,Damon Hill,Brabham Judd,+6.907s
17,28,Paul Belmondo,March Ilmor,+6.924s
23,29,Alessandro Zanardi,Minardi Lamborghini,+7.123s
