,Position,Driver,Car,Time
11,1,James Hunt,McLaren Ford,1:12.389
10,2,Ronnie Peterson,March Ford,1:12.783
9,3,Vittorio Brambilla,March Ford,1:12.799
4,4,Patrick Depailler,Tyrrell Ford,1:12.837
5,5,Mario Andretti,Lotus Ford,1:13.028
1,6,Niki Lauda,Ferrari,1:13.060
3,7,Jody Scheckter,Tyrrell Ford,1:13.191
34,8,Hans-Joachim Stuck,March Ford,1:13.322
26,9,Jacques Laffite,Ligier Matra,1:13.425
8,10,Carlos Pace,Brabham Alfa Romeo,1:13.438
12,11,Jochen Mass,McLaren Ford,1:13.439
2,12,Clay Regazzoni,Ferrari,1:13.500
16,13,Tom Pryce,Shadow Ford,1:13.665
28,14,John Watson,Penske Ford,1:13.973
6,15,Gunnar Nilsson,Lotus Ford,1:14.397
22,16,Jacky Ickx,Ensign Ford,1:14.461
30,17,Emerson Fittipaldi,Fittipaldi Ford,1:14.471
17,18,Jean-Pierre Jarier,Shadow Ford,1:15.113
7,19,Larry Perkins,Brabham Alfa Romeo,1:15.598
19,20,Alan  Jones,Surtees Ford,1:15.652
38,21,Henri Pescarolo,Surtees Ford,1:15.846
18,22,Brett Lunger,Surtees Ford,1:16.201
25,23,Guy Edwards,Hesketh Ford,1:17.217
20,24,Arturo Merzario,Wolf-Williams,1:17.288
