,Position,Driver,Car,Time
27,1,Alan  Jones,Williams Ford,1:35.615
6,2,Nelson Piquet,Brabham Ford,1:36.914
12,3,Gilles Villeneuve,Ferrari,1:36.948
26,4,Jacques Laffite,Ligier Ford,1:37.066
28,5,Clay Regazzoni,Williams Ford,1:37.128
2,6,Carlos Reutemann,Lotus Ford,1:37.872
16,7,Rene Arnoux,Renault,1:38.195
15,8,Jean-Pierre Jabouille,Renault,1:38.218
5,9,Ricardo Zunino,Brabham Ford,1:38.509
3,10,Didier Pironi,Tyrrell Ford,1:38.823
4,15,Derek Daly,Tyrrell Ford,1:39.468
20,12,Keke Rosberg,Wolf Ford,1:39.035
7,13,John Watson,McLaren Ford,1:39.233
9,14,Hans-Joachim Stuck,ATS Ford,1:39.329
11,16,Jody Scheckter,Ferrari,1:39.576
1,17,Mario Andretti,Lotus Ford,1:40.144
35,18,Bruno Giacomelli,Alfa Romeo,1:40.277
29,19,Riccardo Patrese,Arrows Ford,1:40.337
18,20,Elio de Angelis,Shadow Ford,1:40.625
22,21,Marc Surer,Ensign Ford,1:40.635
8,22,Patrick Tambay,McLaren Ford,1:40.731
14,23,Emerson Fittipaldi,Fittipaldi Ford,1:40.741
25,24,Jacky Ickx,Ligier Ford,1:40.745
