,Position,Driver,Car,Lap,Time
28,1,Gerhard Berger,Ferrari,24,1:26.419
2,2,Johnny Herbert,Benetton Renault,28,1:26.481
7,3,Mark Blundell,McLaren Mercedes,51,1:26.784
27,4,Jean Alesi,Ferrari,21,1:26.818
8,5,Mika Hakkinen,McLaren Mercedes,26,1:26.869
6,6,David Coulthard,Williams Renault,11,1:26.936
5,7,Damon Hill,Williams Renault,19,1:26.936
1,8,Michael Schumacher,Benetton Renault,21,1:26.969
14,9,Rubens Barrichello,Jordan Peugeot,26,1:26.970
30,10,Heinz-Harald Frentzen,Sauber Ford,22,1:27.138
15,11,Eddie Irvine,Jordan Peugeot,23,1:27.472
26,12,Olivier Panis,Ligier Mugen Honda,20,1:28.710
4,13,Mika Salo,Tyrrell Yamaha,26,1:28.795
3,14,Ukyo Katayama,Tyrrell Yamaha,41,1:28.909
29,15,Jean-Christophe Boullion,Sauber Ford,49,1:28.976
24,16,Luca Badoer,Minardi Ford,19,1:29.175
9,17,Massimiliano Papis,Footwork Hart,22,1:29.402
25,18,Martin Brundle,Ligier Mugen Honda,7,1:29.424
10,19,Taki Inoue,Footwork Hart,49,1:29.426
21,20,Pedro Diniz,Forti Ford,17,1:31.563
16,21,Giovanni Lavaggi,Pacific Ilmor,4,1:33.023
