,Position,Driver,Car,Lap,Time
1,1,Michael Schumacher,Ferrari,50,1:26.110
3,2,Jean Alesi,Benetton Renault,49,1:26.652
7,3,Mika Hakkinen,McLaren Mercedes,29,1:26.827
6,4,Jacques Villeneuve,Williams Renault,41,1:27.027
11,5,Rubens Barrichello,Jordan Peugeot,52,1:27.557
5,6,Damon Hill,Williams Renault,4,1:27.639
2,7,Eddie Irvine,Ferrari,23,1:27.687
12,8,Martin Brundle,Jordan Peugeot,51,1:27.831
10,9,Pedro Diniz,Ligier Mugen Honda,24,1:27.905
14,10,Johnny Herbert,Sauber Ford,50,1:28.223
17,11,Jos Verstappen,Footwork Hart,29,1:28.650
18,12,Ukyo Katayama,Tyrrell Yamaha,50,1:28.980
4,13,Gerhard Berger,Benetton Renault,4,1:29.123
19,14,Mika Salo,Tyrrell Yamaha,5,1:29.418
15,15,Heinz-Harald Frentzen,Sauber Ford,5,1:29.945
16,16,Ricardo Rosset,Footwork Hart,5,1:30.579
20,17,Pedro Lamy,Minardi Ford,9,1:31.353
9,18,Olivier Panis,Ligier Mugen Honda,2,1:32.657
21,19,Giovanni Lavaggi,Minardi Ford,4,1:33.189
8,20,David Coulthard,McLaren Mercedes,1,1:38.080
