,Position,Driver,Car,Time / Gap
5,1,Thierry Boutsen,Williams Renault,1:17.679
2,2,Nigel Mansell,Ferrari,+0.414s
28,3,Gerhard Berger,McLaren Honda,+0.465s
4,4,Jean Alesi,Tyrrell Ford,+0.576s
3,5,Satoru Nakajima,Tyrrell Ford,+0.642s
6,6,Riccardo Patrese,Williams Renault,+0.805s
27,7,Ayrton Senna,McLaren Honda,+0.806s
12,8,Martin Donnelly,Lotus Lamborghini,+0.849s
20,9,Nelson Piquet,Benetton Ford,+0.914s
23,10,Pierluigi Martini,Minardi Ford,+0.935s
19,11,Alessandro Nannini,Benetton Ford,+1.235s
1,12,Alain Prost,Ferrari,+1.251s
8,13,Stefano Modena,Brabham Judd,+1.520s
11,14,Derek Warwick,Lotus Lamborghini,+1.571s
21,15,Emanuele Pirro,Dallara Ford,+1.671s
25,16,Nicola Larini,Ligier Ford,+1.860s
22,17,Andrea de Cesaris,Dallara Ford,+2.191s
30,18,Aguri Suzuki,Lola Lamborghini,+2.222s
36,19,Jyrki Jarvilehto,Onyx Ford,+2.269s
35,20,Gregor Foitek,Onyx Ford,+2.271s
24,21,Paolo Barilla,Minardi Ford,+2.632s
29,22,Eric Bernard,Lola Lamborghini,+2.893s
10,23,Alex Caffi,Arrows Ford,+2.963s
9,24,Michele Alboreto,Arrows Ford,+3.019s
7,25,David Brabham,Brabham Judd,+3.027s
26,26,Philippe Alliot,Ligier Ford,+3.386s
14,27,Olivier Grouillard,Osella Ford,+3.411s
33,28,Roberto Moreno,Euro Brun Judd,+3.766s
16,29,Ivan Capelli,Leyton House Judd,+3.981s
15,30,Mauricio Gugelmin,Leyton House Judd,+4.388s
