,Position,Driver,Car,Time / Gap
2,1,Nigel Mansell,Ferrari,1:18.813
6,2,Riccardo Patrese,Williams Renault,+0.072s
28,3,Gerhard Berger,McLaren Honda,+0.337s
23,4,Pierluigi Martini,Minardi Ford,+0.371s
19,5,Alessandro Nannini,Benetton Ford,+0.404s
8,6,Stefano Modena,Brabham Judd,+0.408s
27,7,Ayrton Senna,McLaren Honda,+0.935s
1,8,Alain Prost,Ferrari,+0.981s
3,9,Satoru Nakajima,Tyrrell Ford,+1.289s
20,10,Nelson Piquet,Benetton Ford,+1.404s
11,11,Derek Warwick,Lotus Lamborghini,+1.671s
22,12,Andrea de Cesaris,Dallara Ford,+1.946s
5,13,Thierry Boutsen,Williams Renault,+1.961s
12,14,Martin Donnelly,Lotus Lamborghini,+2.004s
4,15,Jean Alesi,Tyrrell Ford,+2.171s
14,16,Olivier Grouillard,Osella Ford,+2.343s
36,17,Jyrki Jarvilehto,Onyx Ford,+2.444s
24,18,Paolo Barilla,Minardi Ford,+2.683s
33,19,Roberto Moreno,Euro Brun Judd,+2.770s
26,20,Philippe Alliot,Ligier Ford,+2.794s
35,21,Gregor Foitek,Onyx Ford,+3.084s
7,22,David Brabham,Brabham Judd,+3.253s
10,23,Alex Caffi,Arrows Ford,+3.307s
21,24,Emanuele Pirro,Dallara Ford,+3.323s
9,25,Michele Alboreto,Arrows Ford,+4.100s
30,26,Aguri Suzuki,Lola Lamborghini,+4.215s
16,27,Ivan Capelli,Leyton House Judd,+5.233s
25,28,Nicola Larini,Ligier Ford,+6.287s
15,29,Mauricio Gugelmin,Leyton House Judd,+6.638s
29,30,Eric Bernard,Lola Lamborghini,+11.765s
