,Position,Driver,Car,Lap,Time
1,1,Alain Prost,Ferrari,58,1:17.958
28,2,Gerhard Berger,McLaren Honda,65,1:18.223
20,3,Nelson Piquet,Benetton Ford,65,1:18.365
2,4,Nigel Mansell,Ferrari,62,1:18.487
6,5,Riccardo Patrese,Williams Renault,48,1:18.653
27,6,Ayrton Senna,McLaren Honda,41,1:19.062
19,7,Alessandro Nannini,Benetton Ford,46,1:19.378
4,8,Jean Alesi,Tyrrell Ford,65,1:19.474
12,9,Martin Donnelly,Lotus Lamborghini,63,1:19.508
5,10,Thierry Boutsen,Williams Renault,46,1:19.525
11,11,Derek Warwick,Lotus Lamborghini,53,1:19.932
23,12,Pierluigi Martini,Minardi Ford,60,1:20.230
8,13,Stefano Modena,Brabham Judd,58,1:20.355
22,14,Andrea de Cesaris,Dallara Ford,48,1:20.601
24,15,Paolo Barilla,Minardi Ford,56,1:20.789
25,16,Nicola Larini,Ligier Ford,43,1:21.235
35,17,Gregor Foitek,Onyx Ford,59,1:21.408
26,18,Philippe Alliot,Ligier Ford,19,1:21.467
3,19,Satoru Nakajima,Tyrrell Ford,10,1:21.736
9,20,Michele Alboreto,Arrows Ford,35,1:22.082
29,21,Eric Bernard,Lola Lamborghini,10,1:22.636
14,22,Olivier Grouillard,Osella Ford,41,1:22.779
30,23,Aguri Suzuki,Lola Lamborghini,9,1:22.936
21,24,Emanuele Pirro,Dallara Ford,10,1:23.476
36,25,Jyrki Jarvilehto,Onyx Ford,13,1:23.816
7,26,David Brabham,Brabham Judd,4,1:26.487
