,Position,Driver,Car,Time
11,1,James Hunt,McLaren Ford,1:43.622
3,2,Jody Scheckter,Tyrrell Ford,1:43.870
10,3,Ronnie Peterson,March Ford,1:43.941
9,4,Vittorio Brambilla,March Ford,1:44.250
1,5,Niki Lauda,Ferrari,1:44.257
34,6,Hans-Joachim Stuck,March Ford,1:44.265
4,7,Patrick Depailler,Tyrrell Ford,1:44.516
28,8,John Watson,Penske Ford,1:44.719
16,9,Tom Pryce,Shadow Ford,1:45.102
8,10,Carlos Pace,Brabham Alfa Romeo,1:45.274
5,11,Mario Andretti,Lotus Ford,1:45.311
26,12,Jacques Laffite,Ligier Matra,1:45.324
7,13,Larry Perkins,Brabham Alfa Romeo,1:45.363
2,14,Clay Regazzoni,Ferrari,1:45.534
30,15,Emerson Fittipaldi,Fittipaldi Ford,1:45.646
17,16,Jean-Pierre Jarier,Shadow Ford,1:45.979
12,17,Jochen Mass,McLaren Ford,1:46.067
19,18,Alan  Jones,Surtees Ford,1:46.402
22,19,Jacky Ickx,Ensign Ford,1:46.605
6,20,Gunnar Nilsson,Lotus Ford,1:46.776
24,21,Harald Ertl,Hesketh Ford,1:49.418
25,22,Alex Ribeiro,Hesketh Ford,1:49.669
21,23,Warwick Brown,Wolf-Williams,1:51.124
18,24,Brett Lunger,Surtees Ford,1:51.373
20,25,Arturo Merzario,Wolf-Williams,2:00.932
38,26,Henri Pescarolo,Surtees Ford,2:05.211
