,Position,Driver,Car,Time / Gap
6,1,Riccardo Patrese,Williams Renault,1:17.033
5,2,Nigel Mansell,Williams Renault,+0.025s
2,3,Gerhard Berger,McLaren Honda,+0.903s
19,4,Michael Schumacher,Benetton Ford,+1.409s
1,5,Ayrton Senna,McLaren Honda,+1.702s
20,6,Martin Brundle,Benetton Ford,+1.771s
22,7,Pierluigi Martini,Dallara Ferrari,+2.171s
3,8,Olivier Grouillard,Tyrrell Ilmor,+2.200s
27,9,Jean Alesi,Ferrari,+2.321s
16,10,Karl Wendlinger,March Ilmor,+2.384s
4,11,Andrea de Cesaris,Tyrrell Ilmor,+2.558s
23,12,Christian Fittipaldi,Minardi Lamborghini,+2.834s
21,13,Jyrki Jarvilehto,Dallara Ferrari,+2.966s
9,14,Michele Alboreto,Footwork Mugen Honda,+2.996s
15,15,Gabriele Tarquini,Fondmetal Ford,+3.019s
25,16,Thierry Boutsen,Ligier Renault,+3.051s
11,17,Mika Hakkinen,Lotus Ford,+3.102s
24,18,Gianni Morbidelli,Minardi Lamborghini,+3.111s
10,19,Aguri Suzuki,Footwork Mugen Honda,+3.161s
33,20,Mauricio Gugelmin,Jordan Yamaha,+3.215s
29,21,Bertrand Gachot,Venturi Lamborghini,+3.335s
32,22,Stefano Modena,Jordan Yamaha,+3.624s
28,23,Ivan Capelli,Ferrari,+3.626s
12,24,Johnny Herbert,Lotus Ford,+3.663s
26,25,Erik Comas,Ligier Renault,+3.946s
7,26,Eric van de Poele,Brabham Judd,+4.313s
30,27,Ukyo Katayama,Venturi Lamborghini,+4.964s
14,28,Andrea Chiesa,Fondmetal Ford,+5.136s
17,29,Paul Belmondo,March Ilmor,+5.148s
8,30,Giovanna Amati,Brabham Judd,+7.273s
