,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:17.406
6,2,Riccardo Patrese,Williams Renault,+1.104s
19,3,Michael Schumacher,Benetton Ford,+1.348s
2,4,Gerhard Berger,McLaren Honda,+1.797s
1,5,Ayrton Senna,McLaren Honda,+2.197s
4,6,Andrea de Cesaris,Tyrrell Ilmor,+3.271s
22,7,Pierluigi Martini,Dallara Ferrari,+3.890s
21,8,Jyrki Jarvilehto,Dallara Ferrari,+3.936s
23,9,Christian Fittipaldi,Minardi Lamborghini,+3.955s
27,10,Jean Alesi,Ferrari,+3.983s
20,11,Martin Brundle,Benetton Ford,+4.089s
15,12,Gabriele Tarquini,Fondmetal Ford,+4.306s
3,13,Olivier Grouillard,Tyrrell Ilmor,+4.780s
29,14,Bertrand Gachot,Venturi Lamborghini,+4.928s
33,15,Mauricio Gugelmin,Jordan Yamaha,+4.954s
25,16,Thierry Boutsen,Ligier Renault,+4.962s
16,17,Karl Wendlinger,March Ilmor,+5.122s
9,18,Michele Alboreto,Footwork Mugen Honda,+5.183s
10,19,Aguri Suzuki,Footwork Mugen Honda,+5.285s
28,20,Ivan Capelli,Ferrari,+5.335s
11,21,Mika Hakkinen,Lotus Ford,+5.378s
14,22,Andrea Chiesa,Fondmetal Ford,+5.492s
24,23,Gianni Morbidelli,Minardi Lamborghini,+5.542s
17,24,Paul Belmondo,March Ilmor,+5.740s
26,25,Erik Comas,Ligier Renault,+5.962s
12,26,Johnny Herbert,Lotus Ford,+6.179s
30,27,Ukyo Katayama,Venturi Lamborghini,+6.223s
32,28,Stefano Modena,Jordan Yamaha,+6.384s
7,29,Eric van de Poele,Brabham Judd,+6.983s
8,30,Giovanna Amati,Brabham Judd,+10.217s
