,Position,Driver,Car,Lap,Time
6,1,Nelson Piquet,Williams Honda,64,1:19.360
5,2,Nigel Mansell,Williams Honda,63,1:19.441
28,3,Stefan Johansson,Ferrari,52,1:20.182
12,4,Ayrton Senna,Lotus Renault,64,1:20.237
1,5,Alain Prost,McLaren TAG,37,1:20.357
20,6,Gerhard Berger,Benetton BMW,42,1:20.543
7,7,Riccardo Patrese,Brabham BMW,60,1:21.060
2,8,Keke Rosberg,McLaren TAG,19,1:21.298
26,9,Philippe Alliot,Ligier Renault,62,1:21.630
14,10,Jonathan  Palmer,Zakspeed,62,1:21.732
8,11,Derek Warwick,Brabham BMW,32,1:21.890
25,12,Rene Arnoux,Ligier Renault,57,1:22.020
15,13,Alan  Jones,Lola Hart,26,1:22.024
11,14,Johnny Dumfries,Lotus Renault,22,1:22.036
18,15,Thierry Boutsen,Arrows BMW,54,1:22.315
23,16,Andrea de Cesaris,Minardi Motori Moderni,48,1:22.430
27,17,Michele Alboreto,Ferrari,9,1:22.546
3,18,Martin Brundle,Tyrrell Renault,7,1:23.337
17,19,Christian Danner,Arrows BMW,30,1:23.551
4,20,Philippe Streiff,Tyrrell Renault,6,1:24.525
24,21,Alessandro Nannini,Minardi Motori Moderni,46,1:24.978
19,22,Teo Fabi,Benetton BMW,3,1:25.615
22,23,Allen Berg,Osella Alfa Romeo,53,1:28.736
21,24,Piercarlo Ghinzani,Osella Alfa Romeo,5,1:30.412
