,Position,Driver,Car,Lap,Time
12,1,Ayrton Senna,McLaren Honda,33,1:46.326
11,2,Alain Prost,McLaren Honda,44,1:46.482
20,3,Thierry Boutsen,Benetton Ford,22,1:47.161
16,4,Ivan Capelli,March Judd,11,1:47.375
19,5,Alessandro Nannini,Benetton Ford,34,1:47.991
3,6,Jonathan  Palmer,Tyrrell Ford,41,1:48.138
6,7,Riccardo Patrese,Williams Judd,32,1:48.289
5,8,Nigel Mansell,Williams Judd,23,1:48.317
1,9,Nelson Piquet,Lotus Honda,23,1:48.402
28,10,Gerhard Berger,Ferrari,25,1:48.655
2,11,Satoru Nakajima,Lotus Honda,26,1:48.660
18,12,Eddie  Cheever,Arrows Megatron,24,1:48.734
15,13,Mauricio Gugelmin,March Judd,32,1:48.780
30,14,Philippe Alliot,Lola Ford,35,1:48.913
27,15,Michele Alboreto,Ferrari,35,1:49.014
14,16,Philippe Streiff,AGS Ford,30,1:49.218
22,17,Andrea de Cesaris,Rial Ford,24,1:49.478
23,18,Pierluigi Martini,Minardi Ford,34,1:50.483
24,19,Luis Perez-Sala,Minardi Ford,30,1:50.553
17,20,Derek Warwick,Arrows Megatron,9,1:50.583
29,21,Aguri Suzuki,Lola Ford,31,1:50.642
36,22,Alex Caffi,Dallara Ford,22,1:50.762
10,23,Bernd Schneider,Zakspeed,12,1:51.435
21,24,Nicola Larini,Osella,27,1:51.570
4,25,Julian Bailey,Tyrrell Ford,40,1:51.638
25,26,Rene Arnoux,Ligier Judd,30,1:52.062
